NO_OF_FRAMES	241
NO_OF_CAMERAS	23
NO_OF_MARKERS	17
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 13:00:48	10530.26477573
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	
10098	56.40782	499.457	-4521.165	7342.763	471.274	-4568.044	7353.048	436.815	-4607.947	7368.648	457.515	-4643.024	7391.996	498.762	-4663.430	7413.555	525.703	-4708.106	7445.696	513.479	-4759.969	7475.777	479.480	-4800.906	7497.570	444.596	-4836.146	7524.352	416.332	-4871.511	7562.538	398.121	-4906.636	7625.007	394.899	-4923.293	7682.595	399.410	-4917.169	7751.757	412.101	-4880.336	7815.753	424.736	-4833.407	7876.204	431.161	-4786.839	7933.656	426.352	-4708.562	7994.285
10099	56.41341	500.033	-4522.116	7322.687	471.681	-4568.924	7332.720	436.172	-4608.044	7348.271	456.260	-4643.081	7372.092	498.053	-4662.276	7393.758	526.237	-4705.655	7426.489	514.494	-4757.059	7457.441	480.285	-4797.607	7479.551	445.236	-4833.604	7505.484	416.429	-4868.290	7543.881	397.856	-4904.581	7606.441	393.712	-4921.362	7663.009	397.653	-4915.317	7732.060	409.868	-4875.870	7794.878	417.083	-4825.974	7855.502	429.171	-4776.161	7907.891	426.219	-4695.911	7966.204
10100	56.41899	500.457	-4523.000	7302.521	471.949	-4569.670	7312.334	435.582	-4608.130	7327.841	455.009	-4643.104	7351.898	497.264	-4660.399	7373.816	526.784	-4703.208	7407.036	515.494	-4754.101	7438.829	481.097	-4794.307	7461.365	445.754	-4830.318	7486.953	416.542	-4865.068	7524.999	397.234	-4902.158	7586.899	392.456	-4919.376	7643.176	395.880	-4912.598	7712.209	407.738	-4871.274	7773.503	412.777	-4818.613	7832.163	427.146	-4766.105	7881.591	425.885	-4683.868	7937.545
10101	56.42458	499.912	-4521.833	7273.263	472.118	-4570.305	7291.860	435.001	-4608.258	7307.126	453.902	-4643.229	7331.412	496.566	-4659.403	7353.443	527.278	-4700.730	7387.256	516.430	-4751.088	7419.969	481.993	-4791.661	7442.133	446.322	-4826.822	7468.328	416.625	-4861.824	7505.841	396.620	-4899.615	7567.166	391.250	-4917.159	7623.126	394.069	-4910.548	7691.983	405.327	-4866.772	7752.123	410.734	-4811.447	7808.059	416.627	-4756.412	7858.523	425.524	-4672.183	7908.332
10102	56.43017	500.045	-4522.328	7252.879	472.228	-4570.871	7271.207	434.472	-4608.475	7286.235	452.768	-4641.768	7311.378	495.832	-4658.490	7332.783	527.806	-4698.262	7367.144	517.368	-4748.075	7400.776	482.833	-4788.399	7423.295	446.920	-4823.576	7449.221	416.745	-4858.584	7486.360	396.003	-4896.917	7547.066	390.057	-4914.800	7602.718	392.545	-4908.186	7672.181	402.701	-4862.230	7730.669	408.452	-4804.470	7783.717	414.662	-4747.078	7831.381	416.077	-4661.286	7882.487
10103	56.43575	500.097	-4522.603	7232.558	472.282	-4571.333	7250.438	434.153	-4608.791	7265.757	451.754	-4641.950	7290.338	495.176	-4657.635	7311.854	528.272	-4695.814	7346.761	518.319	-4745.013	7381.326	483.661	-4785.146	7404.045	447.557	-4820.132	7429.911	416.929	-4855.277	7466.549	395.393	-4894.113	7526.736	388.807	-4912.406	7582.137	390.690	-4904.978	7651.633	400.202	-4857.724	7708.825	406.095	-4797.699	7759.100	412.616	-4738.019	7803.971	415.652	-4650.652	7852.318
10104	56.44134	500.045	-4522.789	7212.239	472.248	-4571.685	7229.668	433.587	-4609.027	7244.486	450.786	-4642.191	7269.034	494.449	-4656.857	7290.678	528.752	-4693.362	7326.053	519.231	-4742.026	7361.513	484.474	-4781.846	7384.577	448.150	-4816.846	7410.172	417.112	-4851.915	7446.448	394.867	-4891.188	7506.096	387.604	-4909.604	7561.182	388.824	-4903.040	7630.360	397.858	-4853.081	7686.664	403.664	-4791.148	7734.275	410.450	-4729.417	7776.120	415.041	-4640.541	7821.882
10105	56.44693	499.816	-4522.768	7191.827	472.169	-4571.983	7208.767	433.130	-4609.243	7223.013	449.887	-4642.398	7247.655	493.728	-4656.083	7269.269	529.220	-4690.868	7305.133	520.200	-4738.911	7341.492	485.306	-4778.635	7364.660	448.727	-4813.428	7390.120	417.323	-4848.582	7426.035	394.362	-4888.112	7485.357	386.371	-4906.801	7540.214	386.943	-4899.825	7609.295	395.311	-4848.545	7664.382	401.272	-4784.695	7709.203	408.158	-4721.142	7748.042	414.150	-4630.970	7791.015
10106	56.45251	499.467	-4522.680	7171.313	472.032	-4572.220	7187.744	432.785	-4608.929	7202.048	448.994	-4644.432	7225.190	493.031	-4656.169	7247.621	529.612	-4688.407	7283.915	521.121	-4735.911	7321.135	486.121	-4775.289	7344.472	449.334	-4810.094	7369.658	417.519	-4845.278	7405.274	393.887	-4884.821	7464.250	385.239	-4903.807	7518.849	382.612	-4896.809	7589.123	392.852	-4843.909	7641.746	398.771	-4778.368	7683.867	405.785	-4713.145	7719.735	412.986	-4621.646	7759.771
10107	56.45810	499.090	-4522.493	7150.901	470.949	-4573.987	7164.730	432.358	-4609.155	7180.175	448.136	-4644.690	7203.308	492.249	-4655.561	7225.877	529.968	-4685.881	7262.558	522.141	-4732.918	7300.440	486.931	-4772.129	7323.846	449.882	-4806.643	7348.940	417.698	-4841.780	7384.233	393.497	-4881.439	7442.798	384.214	-4900.665	7497.200	380.938	-4893.524	7567.494	390.278	-4839.224	7618.924	396.286	-4772.229	7658.335	403.320	-4705.459	7691.150	411.555	-4612.727	7728.049
10108	56.46369	498.522	-4522.202	7130.173	470.756	-4574.208	7143.510	431.836	-4609.858	7156.723	447.208	-4644.892	7181.296	491.461	-4654.818	7204.086	530.304	-4683.347	7241.002	523.127	-4729.938	7279.376	487.776	-4768.941	7302.775	450.430	-4803.339	7327.650	417.885	-4838.341	7362.776	393.193	-4878.003	7421.200	383.249	-4897.319	7475.371	379.189	-4889.988	7545.657	387.654	-4834.456	7595.881	393.726	-4766.274	7632.604	400.745	-4698.071	7662.312	409.865	-4604.044	7695.764
10109	56.46927	497.912	-4521.916	7109.447	471.551	-4572.625	7124.162	431.435	-4610.151	7134.556	446.250	-4645.180	7159.166	490.594	-4654.188	7182.171	530.634	-4680.702	7219.115	524.191	-4726.938	7258.015	488.594	-4765.803	7281.355	450.947	-4799.979	7306.140	418.096	-4834.917	7341.000	392.926	-4874.604	7399.250	382.381	-4893.883	7453.176	377.441	-4886.248	7523.522	384.903	-4829.768	7572.639	391.134	-4760.390	7606.756	398.131	-4690.946	7633.292	407.769	-4595.809	7663.096
10110	56.47486	497.210	-4521.580	7088.491	471.266	-4572.638	7102.687	431.083	-4610.592	7112.816	445.327	-4645.397	7136.970	489.681	-4653.343	7160.155	530.885	-4678.112	7197.089	525.259	-4724.055	7236.424	489.419	-4762.660	7259.541	451.449	-4796.704	7283.989	418.292	-4831.376	7318.925	392.711	-4870.908	7377.008	381.584	-4890.246	7430.812	375.586	-4882.416	7500.994	382.245	-4824.963	7549.021	388.468	-4754.606	7580.667	395.407	-4684.019	7604.094	405.440	-4587.770	7629.972
10111	56.48045	496.350	-4521.189	7067.283	470.946	-4572.624	7080.733	430.672	-4610.664	7090.322	444.289	-4645.564	7114.587	488.726	-4652.562	7137.991	531.041	-4675.507	7174.935	526.416	-4721.146	7214.546	490.336	-4759.543	7237.502	451.933	-4793.468	7261.470	418.524	-4827.900	7296.263	392.609	-4867.250	7354.465	380.819	-4886.407	7408.144	373.922	-4878.523	7478.292	379.574	-4820.045	7525.255	385.756	-4748.910	7554.468	392.694	-4677.316	7574.698	402.682	-4580.151	7596.479
10112	56.48603	495.541	-4520.738	7046.115	470.528	-4572.554	7059.082	430.214	-4610.818	7067.864	443.209	-4645.638	7092.123	487.647	-4651.828	7115.758	531.161	-4672.863	7152.599	527.638	-4718.218	7192.337	491.285	-4755.692	7216.996	452.356	-4789.925	7238.658	418.877	-4824.560	7274.378	392.581	-4863.332	7331.585	380.248	-4882.388	7385.207	372.297	-4874.460	7455.516	376.803	-4815.005	7501.299	382.999	-4743.294	7528.135	389.857	-4670.945	7545.130	401.206	-4572.859	7562.603
10113	56.49162	494.564	-4520.270	7024.567	470.067	-4572.426	7037.336	429.613	-4610.923	7045.267	442.144	-4645.687	7069.549	486.510	-4651.045	7093.450	531.106	-4670.168	7129.972	528.886	-4715.383	7169.941	492.322	-4753.511	7192.359	452.775	-4785.669	7217.616	419.036	-4821.112	7250.918	392.642	-4859.417	7308.469	379.719	-4878.242	7361.896	370.486	-4870.362	7432.239	373.935	-4809.921	7477.131	380.139	-4737.823	7501.670	386.955	-4664.768	7515.420	397.914	-4565.839	7528.186
