NO_OF_FRAMES	853
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 16:47:20	6986.18428335
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
3932	21.96089	394.605	-4960.242	7799.549	423.111	-4980.790	7775.664	445.251	-5004.995	7712.552	481.604	-5084.947	7737.912	483.427	-5106.673	7807.735	475.479	-5102.082	7882.659	469.304	-5093.505	7930.912	459.679	-5081.966	7985.865	450.453	-5069.755	8048.139	444.008	-5062.327	8101.845	449.778	-5060.202	8161.105	463.381	-5058.176	8228.151	441.129	-5119.325	8266.057	NA	NA	NA	NA	NA	NA
3933	21.96648	395.946	-4960.623	7810.653	423.797	-4982.721	7784.598	443.677	-5003.369	7721.122	480.283	-5084.294	7739.122	483.561	-5107.909	7807.896	476.639	-5103.999	7882.830	470.968	-5095.631	7931.265	461.180	-5083.897	7986.077	451.851	-5070.965	8048.297	444.810	-5062.836	8101.843	449.764	-5060.783	8160.844	463.385	-5058.288	8228.116	441.152	-5119.351	8266.041	NA	NA	NA	NA	NA	NA
3934	21.97207	397.598	-4961.040	7822.405	424.754	-4983.729	7795.705	442.800	-5001.466	7728.514	478.697	-5083.295	7740.507	483.734	-5109.085	7808.142	477.925	-5106.194	7883.153	472.531	-5097.663	7931.563	463.058	-5085.846	7986.452	453.255	-5072.323	8048.436	445.777	-5063.804	8101.808	449.621	-5061.948	8160.324	463.361	-5058.368	8228.147	441.128	-5119.486	8266.005	NA	NA	NA	NA	NA	NA
3935	21.97765	NA	NA	NA	425.729	-4984.845	7806.787	440.182	-4999.571	7736.767	476.916	-5082.051	7742.177	483.802	-5110.006	7808.386	479.130	-5108.180	7883.446	474.258	-5100.006	7931.880	464.744	-5087.940	7986.685	454.670	-5074.009	8048.552	446.788	-5064.712	8101.850	450.109	-5062.384	8160.360	463.382	-5058.377	8228.214	441.087	-5119.636	8266.083	NA	NA	NA	NA	NA	NA
3936	21.98324	NA	NA	NA	426.791	-4985.937	7818.184	437.063	-4997.702	7745.825	474.985	-5080.527	7744.153	484.430	-5110.345	7809.160	480.426	-5110.386	7883.678	475.851	-5102.306	7932.227	466.675	-5090.161	7987.147	456.428	-5075.667	8048.853	447.836	-5065.833	8101.811	450.531	-5062.960	8160.351	463.355	-5058.425	8228.302	441.096	-5119.548	8266.127	NA	NA	NA	NA	NA	NA
3937	21.98883	NA	NA	NA	427.794	-4987.180	7829.534	434.744	-4996.943	7755.994	472.900	-5078.570	7746.455	484.606	-5110.721	7809.749	481.659	-5112.264	7883.958	477.603	-5104.655	7932.591	468.588	-5092.327	7987.522	457.994	-5077.535	8049.057	448.965	-5067.266	8101.813	451.080	-5063.618	8160.333	463.383	-5058.461	8228.313	441.052	-5119.669	8266.114	NA	NA	NA	NA	NA	NA
3938	21.99441	NA	NA	NA	428.823	-4988.541	7841.234	433.182	-4996.447	7766.835	470.641	-5076.513	7749.092	484.610	-5110.816	7810.265	482.874	-5114.117	7884.134	479.309	-5106.914	7932.858	470.454	-5094.570	7987.845	459.718	-5079.680	8049.308	450.188	-5068.762	8101.922	451.559	-5064.381	8160.292	463.386	-5058.454	8228.250	441.094	-5119.525	8266.191	NA	NA	NA	NA	NA	NA
3939	22.00000	NA	NA	NA	430.779	-4986.315	7853.377	431.952	-4996.256	7778.247	468.223	-5074.083	7752.096	484.459	-5110.825	7810.835	484.137	-5115.992	7884.378	481.070	-5109.323	7933.159	472.480	-5097.161	7988.260	461.419	-5081.982	8049.578	451.384	-5070.228	8102.021	452.109	-5065.118	8160.288	463.417	-5058.479	8228.164	441.120	-5119.658	8266.104	NA	NA	NA	NA	NA	NA
3940	22.00559	NA	NA	NA	431.709	-4987.610	7865.419	430.985	-4996.656	7790.080	465.756	-5071.152	7755.630	484.245	-5110.574	7811.392	485.377	-5117.762	7884.571	482.749	-5111.630	7933.493	474.481	-5099.914	7988.724	463.219	-5084.377	8049.940	452.553	-5072.199	8102.006	452.591	-5065.997	8160.226	463.476	-5058.624	8228.118	441.186	-5119.659	8266.044	NA	NA	NA	NA	NA	NA
3941	22.01117	NA	NA	NA	432.574	-4989.152	7877.610	430.258	-4997.095	7802.285	463.056	-5068.438	7759.720	484.025	-5110.080	7812.072	487.016	-5118.628	7885.132	484.428	-5113.816	7933.793	476.366	-5102.685	7989.034	465.050	-5086.973	8050.301	453.859	-5073.933	8102.107	453.128	-5067.110	8160.191	463.414	-5058.670	8227.948	441.303	-5119.713	8266.032	NA	NA	NA	NA	NA	NA
3942	22.01676	NA	NA	NA	433.036	-4990.242	7889.910	429.827	-4998.078	7814.774	460.422	-5065.263	7764.479	484.239	-5109.109	7812.235	488.444	-5119.791	7885.464	486.166	-5115.905	7934.014	478.345	-5105.439	7989.486	466.958	-5089.566	8050.690	455.191	-5075.871	8102.263	453.560	-5068.026	8160.137	463.420	-5058.962	8227.676	441.338	-5119.681	8265.978	NA	NA	NA	NA	NA	NA
3943	22.02235	NA	NA	NA	433.306	-4991.437	7902.356	429.770	-4999.332	7827.496	457.838	-5062.114	7769.991	483.522	-5108.410	7813.052	489.789	-5120.771	7885.816	487.842	-5117.857	7934.316	480.344	-5108.123	7990.017	468.858	-5092.260	8051.213	456.502	-5077.997	8102.445	454.073	-5069.096	8160.104	463.414	-5059.122	8227.510	441.447	-5119.781	8265.829	NA	NA	NA	NA	NA	NA
