NO_OF_FRAMES	211
NO_OF_CAMERAS	23
NO_OF_MARKERS	12
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 17:51:17	5834.69910782
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	
6693	37.38547	339.995	-4493.820	7292.018	286.571	-4572.389	7367.533	298.081	-4624.092	7432.013	335.321	-4648.235	7486.483	357.760	-4675.582	7542.333	369.313	-4705.552	7624.392	373.358	-4741.567	7699.239	384.709	-4781.254	7776.337	386.194	-4813.709	7849.103	400.110	-4835.693	7930.903	419.227	-4859.683	8030.806	363.697	-4862.882	8128.840
6694	37.39106	340.220	-4490.607	7273.350	286.487	-4568.985	7348.674	296.280	-4620.841	7413.199	333.400	-4644.497	7468.034	356.411	-4670.715	7524.225	369.125	-4699.194	7607.394	372.928	-4734.369	7681.857	384.376	-4773.690	7759.078	385.874	-4805.565	7832.157	399.062	-4826.302	7914.392	414.972	-4847.899	8015.415	356.332	-4850.929	8111.653
6695	37.39665	340.573	-4487.481	7254.605	286.426	-4565.512	7329.718	294.461	-4617.623	7394.106	331.387	-4640.860	7449.372	355.144	-4665.847	7505.805	368.944	-4692.612	7589.549	372.537	-4727.305	7664.040	384.077	-4766.106	7741.509	385.616	-4797.362	7814.864	397.858	-4816.731	7897.617	410.671	-4836.267	7999.522	349.533	-4838.938	8094.513
6696	37.40223	340.814	-4484.343	7235.650	286.413	-4562.016	7310.545	291.826	-4614.461	7375.764	329.460	-4637.372	7430.422	353.890	-4661.069	7487.029	367.470	-4686.422	7570.087	372.089	-4720.292	7645.937	383.814	-4758.520	7723.603	385.336	-4788.924	7797.275	396.147	-4806.896	7880.952	406.153	-4824.649	7983.120	342.926	-4826.863	8077.613
6697	37.40782	340.963	-4480.800	7216.642	286.426	-4558.467	7291.270	290.282	-4611.242	7355.988	327.476	-4633.810	7411.239	352.687	-4656.370	7467.853	366.833	-4680.139	7551.255	371.722	-4713.231	7627.479	383.653	-4750.924	7705.282	385.072	-4780.360	7779.348	394.913	-4796.904	7863.475	401.497	-4813.135	7966.373	336.635	-4814.956	8060.493
6698	37.41341	341.070	-4477.380	7197.354	286.503	-4554.891	7271.755	288.615	-4608.007	7336.059	325.643	-4630.356	7391.656	351.368	-4651.704	7448.556	366.156	-4673.967	7532.071	371.476	-4706.298	7608.568	383.477	-4743.290	7686.699	384.788	-4771.790	7761.142	393.599	-4786.705	7845.683	396.889	-4801.578	7949.033	330.458	-4803.022	8043.176
6699	37.41899	340.820	-4473.542	7177.922	286.587	-4551.291	7252.009	287.289	-4604.789	7315.540	323.745	-4626.917	7371.807	350.136	-4647.146	7428.828	365.464	-4667.944	7512.499	371.161	-4699.400	7589.334	383.332	-4735.581	7667.801	384.476	-4763.120	7742.707	392.174	-4776.412	7827.559	392.294	-4790.028	7931.359	324.406	-4791.161	8025.431
6700	37.42458	340.351	-4469.599	7158.225	286.705	-4547.667	7232.053	285.650	-4601.513	7295.146	321.831	-4623.443	7351.821	348.322	-4642.753	7409.450	365.330	-4661.925	7493.107	370.818	-4692.590	7569.805	383.152	-4727.860	7648.618	384.109	-4754.329	7723.863	390.691	-4766.017	7809.103	387.642	-4778.457	7913.066	318.645	-4779.531	8007.063
6701	37.43017	339.923	-4465.627	7138.316	286.778	-4544.008	7211.928	283.934	-4598.223	7274.594	319.970	-4619.939	7331.475	347.717	-4638.265	7388.388	364.214	-4656.356	7472.466	370.551	-4685.830	7549.910	382.950	-4720.013	7629.206	383.713	-4745.434	7704.781	389.137	-4755.550	7790.347	383.263	-4766.708	7894.336	312.799	-4768.070	7988.229
6702	37.43575	339.530	-4461.642	7118.168	286.887	-4540.300	7191.521	282.324	-4594.885	7253.688	318.060	-4616.433	7310.909	346.562	-4633.926	7367.676	364.437	-4650.597	7452.158	370.273	-4679.204	7529.632	382.796	-4712.071	7609.442	383.295	-4736.397	7685.377	387.458	-4745.023	7771.176	375.918	-4754.895	7877.489	306.601	-4756.623	7968.833
