NO_OF_FRAMES	234
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 12:48:40	9802.48365829
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
17785	99.35196	NA	NA	NA	878.782	-5360.396	7484.091	NA	NA	NA	NA	NA	NA	773.138	-5374.208	7549.109	NA	NA	NA	806.736	-5325.428	7657.227	739.825	-5331.089	7719.520	682.862	-5361.251	7755.635	647.337	-5409.590	7768.717	666.081	-5474.167	7791.926	708.179	-5525.053	7816.257	810.692	-5584.941	7857.502	929.637	-5646.332	7880.547
17786	99.35754	NA	NA	NA	883.473	-5355.761	7466.528	NA	NA	NA	NA	NA	NA	774.611	-5377.897	7528.391	NA	NA	NA	808.238	-5325.479	7637.562	743.731	-5331.215	7700.250	689.736	-5360.954	7739.642	654.147	-5410.373	7752.318	672.863	-5476.362	7770.922	714.869	-5528.801	7790.199	818.390	-5585.012	7829.980	942.693	-5655.257	7841.289
17787	99.36313	NA	NA	NA	886.776	-5351.794	7448.594	NA	NA	NA	NA	NA	NA	779.607	-5376.272	7510.041	NA	NA	NA	809.896	-5325.385	7617.739	747.380	-5331.856	7680.462	696.757	-5360.827	7723.364	661.079	-5411.375	7735.637	679.902	-5478.039	7749.430	721.389	-5532.308	7764.104	827.499	-5592.747	7798.404	953.517	-5653.547	7805.661
17788	99.36872	NA	NA	NA	890.374	-5347.689	7430.142	NA	NA	NA	NA	NA	NA	783.353	-5377.144	7490.502	NA	NA	NA	811.585	-5325.206	7597.595	750.917	-5332.585	7660.378	703.944	-5360.936	7706.494	668.123	-5412.504	7718.671	687.177	-5479.393	7727.454	727.638	-5535.222	7737.621	835.110	-5596.477	7765.968	963.427	-5652.093	7768.947
17789	99.37430	NA	NA	NA	893.732	-5343.580	7410.888	NA	NA	NA	NA	NA	NA	787.462	-5378.006	7470.887	NA	NA	NA	813.450	-5325.062	7577.332	754.255	-5333.266	7639.819	711.151	-5361.590	7689.049	675.545	-5413.635	7701.593	698.736	-5479.824	7703.429	733.798	-5537.485	7710.881	841.928	-5599.416	7732.860	972.235	-5650.469	7731.771
17790	99.37989	NA	NA	NA	897.256	-5339.356	7391.245	NA	NA	NA	NA	NA	NA	791.709	-5378.842	7451.125	NA	NA	NA	NA	NA	NA	757.312	-5334.052	7618.946	718.476	-5362.443	7670.963	683.243	-5414.992	7684.427	NA	NA	NA	739.839	-5539.227	7684.071	848.286	-5602.032	7699.432	980.183	-5649.174	7694.031
17791	99.38547	NA	NA	NA	900.920	-5335.286	7371.091	841.446	-5380.437	7387.083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	760.054	-5334.894	7597.750	725.701	-5363.653	7652.261	691.003	-5416.487	7666.630	NA	NA	NA	750.790	-5539.928	7655.924	854.161	-5604.512	7665.667	987.147	-5647.875	7656.107
17792	99.39106	NA	NA	NA	904.785	-5331.258	7351.289	845.215	-5375.443	7367.911	NA	NA	NA	NA	NA	NA	790.677	-5335.487	7453.758	NA	NA	NA	762.466	-5335.729	7576.208	732.818	-5365.064	7632.760	698.932	-5418.500	7648.435	702.409	-5484.324	7638.075	751.251	-5538.614	7628.994	859.475	-5606.464	7631.589	993.139	-5646.634	7618.143
17793	99.39665	NA	NA	NA	908.514	-5327.779	7330.304	848.951	-5370.334	7348.396	NA	NA	NA	NA	NA	NA	793.270	-5336.455	7433.214	NA	NA	NA	764.767	-5336.458	7554.399	739.757	-5366.763	7612.615	707.085	-5420.455	7629.753	709.688	-5485.965	7616.491	757.243	-5539.827	7603.357	864.151	-5608.686	7597.557	998.242	-5645.713	7579.789
17794	99.40223	NA	NA	NA	912.691	-5324.341	7309.272	851.642	-5356.366	7330.472	NA	NA	NA	NA	NA	NA	796.578	-5337.539	7412.660	NA	NA	NA	766.798	-5337.230	7532.378	746.538	-5368.398	7591.729	715.320	-5422.694	7610.528	716.991	-5487.754	7594.827	763.064	-5540.452	7576.816	868.619	-5609.992	7562.806	1002.566	-5644.814	7541.087
17795	99.40782	NA	NA	NA	916.491	-5321.312	7287.875	856.322	-5359.681	7307.842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	768.495	-5337.907	7510.268	752.992	-5370.024	7570.148	723.666	-5425.007	7590.810	724.259	-5489.252	7572.719	768.789	-5540.994	7550.216	872.583	-5610.969	7527.670	1005.489	-5643.564	7503.116
17796	99.41341	NA	NA	NA	920.528	-5320.652	7266.290	859.356	-5354.569	7287.043	NA	NA	NA	NA	NA	NA	775.365	-5339.756	7369.097	NA	NA	NA	769.934	-5338.560	7487.923	759.005	-5372.064	7547.802	732.136	-5427.216	7570.406	731.589	-5491.141	7550.491	774.686	-5541.205	7523.056	876.166	-5610.586	7491.675	1008.104	-5642.901	7463.953
17797	99.41899	985.660	-5358.423	7202.222	924.072	-5318.512	7244.531	862.169	-5347.070	7264.412	NA	NA	NA	802.064	-5387.701	7315.926	779.293	-5340.729	7347.418	NA	NA	NA	771.322	-5339.156	7465.373	764.923	-5374.044	7525.135	740.765	-5429.669	7549.489	739.089	-5492.936	7527.966	780.331	-5541.765	7496.498	878.544	-5609.387	7455.718	1009.652	-5642.478	7424.317
17798	99.42458	989.372	-5355.358	7181.162	927.657	-5316.591	7222.563	864.730	-5341.867	7242.825	834.640	-5393.646	7261.292	787.989	-5393.066	7293.721	783.594	-5342.853	7328.521	NA	NA	NA	772.561	-5339.982	7442.821	770.610	-5375.966	7501.893	749.521	-5432.081	7528.004	746.712	-5494.973	7505.387	787.010	-5541.890	7470.053	881.316	-5608.273	7421.135	1010.177	-5642.953	7384.606
17799	99.43017	992.997	-5352.205	7160.124	930.808	-5314.499	7200.363	868.267	-5334.263	7221.996	839.406	-5389.707	7239.709	794.570	-5394.020	7273.994	NA	NA	NA	NA	NA	NA	773.548	-5340.608	7419.951	775.933	-5378.117	7478.072	758.240	-5434.444	7505.502	754.474	-5497.223	7482.506	NA	NA	NA	883.815	-5606.350	7387.023	1010.299	-5642.716	7344.229
17800	99.43575	999.630	-5344.995	7138.470	932.964	-5309.117	7178.499	870.589	-5329.302	7199.769	844.044	-5385.496	7217.954	801.472	-5394.898	7254.087	NA	NA	NA	NA	NA	NA	780.127	-5341.267	7399.209	781.178	-5380.223	7453.707	767.016	-5436.745	7482.346	762.408	-5499.579	7459.478	798.640	-5542.955	7417.771	885.981	-5604.024	7353.231	1008.995	-5645.859	7300.806
17801	99.44134	999.797	-5341.822	7115.791	935.707	-5306.679	7155.798	872.801	-5324.473	7177.289	848.822	-5381.310	7196.314	810.151	-5395.834	7235.036	NA	NA	NA	NA	NA	NA	780.967	-5342.265	7376.392	786.467	-5382.201	7428.916	775.978	-5438.997	7458.599	770.470	-5502.176	7436.233	804.011	-5543.560	7391.275	887.775	-5601.570	7319.823	1007.639	-5644.421	7260.242
17802	99.44693	1002.800	-5338.683	7094.050	938.265	-5304.090	7132.781	875.079	-5319.805	7154.560	853.443	-5376.991	7174.589	817.022	-5396.470	7214.313	NA	NA	NA	NA	NA	NA	781.142	-5343.587	7353.333	791.507	-5384.174	7403.574	785.060	-5441.041	7434.104	778.664	-5504.667	7412.493	805.603	-5546.063	7364.980	889.098	-5599.101	7286.793	1005.069	-5642.439	7219.556
17803	99.45251	1009.257	-5335.566	7073.680	940.673	-5301.315	7109.303	877.315	-5314.987	7131.955	858.017	-5372.532	7152.921	823.869	-5397.328	7193.257	791.370	-5353.652	7222.900	NA	NA	NA	781.009	-5344.815	7329.950	802.131	-5386.292	7381.047	794.026	-5443.094	7408.623	786.865	-5507.132	7388.201	810.590	-5546.843	7338.161	890.246	-5596.105	7254.042	1001.803	-5637.824	7179.041
17804	99.45810	1011.896	-5332.523	7051.236	942.752	-5298.849	7085.693	879.670	-5310.281	7109.161	862.524	-5368.103	7131.039	830.894	-5397.617	7171.767	796.674	-5355.772	7201.003	NA	NA	NA	780.750	-5346.195	7306.394	806.277	-5388.289	7355.073	803.188	-5444.753	7382.527	795.199	-5509.579	7363.425	815.831	-5547.933	7311.314	892.105	-5593.041	7221.999	997.641	-5633.809	7139.195
17805	99.46369	1014.480	-5329.441	7028.465	944.098	-5298.671	7061.425	881.994	-5305.826	7086.200	866.940	-5363.455	7109.212	838.122	-5397.284	7150.042	802.236	-5358.125	7179.030	783.353	-5329.788	7218.526	780.677	-5347.824	7282.370	809.656	-5390.494	7328.629	812.385	-5446.317	7355.850	NA	NA	NA	820.909	-5548.864	7284.467	892.786	-5590.029	7189.843	992.667	-5629.700	7099.742
17806	99.46927	1016.658	-5326.225	7005.053	946.365	-5295.753	7037.823	884.165	-5301.405	7063.045	871.209	-5358.770	7087.101	845.856	-5396.315	7128.246	806.815	-5360.304	7156.567	786.766	-5331.506	7194.974	780.780	-5349.347	7258.076	811.946	-5392.823	7301.746	821.225	-5447.602	7328.367	NA	NA	NA	825.996	-5550.190	7257.409	891.277	-5587.333	7157.361	987.263	-5624.820	7061.203
17807	99.47486	1018.782	-5322.753	6981.270	948.679	-5292.654	7014.438	886.338	-5297.129	7039.794	875.280	-5354.389	7064.577	853.672	-5394.651	7106.120	812.320	-5362.894	7134.266	790.098	-5333.575	7171.070	781.136	-5351.157	7233.441	813.636	-5395.662	7274.469	829.743	-5448.712	7300.155	NA	NA	NA	834.580	-5549.429	7230.014	891.054	-5584.396	7125.715	981.245	-5619.495	7023.311
17808	99.48045	1021.053	-5319.624	6957.102	951.837	-5287.126	6991.660	888.452	-5292.946	7016.319	879.096	-5349.996	7041.596	859.736	-5392.280	7082.234	817.609	-5365.567	7111.750	793.231	-5335.910	7146.915	781.721	-5353.056	7208.338	815.038	-5398.620	7246.949	837.750	-5449.684	7271.453	NA	NA	NA	839.891	-5550.313	7202.611	890.654	-5581.608	7094.291	974.910	-5613.724	6986.339
17809	99.48603	1022.955	-5316.255	6932.542	954.307	-5283.582	6968.568	890.533	-5288.998	6992.629	882.768	-5345.813	7018.349	867.370	-5389.705	7059.608	819.302	-5370.079	7089.192	796.720	-5338.565	7122.599	782.137	-5355.354	7182.776	812.685	-5401.330	7215.943	844.871	-5450.562	7241.767	NA	NA	NA	845.775	-5551.308	7175.100	890.046	-5578.842	7063.167	967.944	-5607.349	6950.040
17810	99.49162	1025.381	-5312.563	6908.061	956.809	-5280.870	6945.023	892.596	-5285.124	6968.683	886.468	-5341.666	6994.599	874.900	-5386.850	7036.545	827.308	-5372.515	7067.102	799.656	-5341.111	7097.467	783.017	-5357.599	7156.965	814.389	-5404.702	7188.423	851.295	-5451.375	7211.436	NA	NA	NA	845.810	-5553.911	7146.146	889.143	-5576.083	7032.304	960.441	-5600.442	6914.381
17811	99.49721	1027.304	-5308.789	6883.189	959.198	-5277.554	6921.369	894.800	-5281.373	6944.629	890.087	-5337.741	6970.458	882.251	-5383.881	7012.928	833.492	-5375.262	7044.489	803.461	-5344.043	7072.728	784.007	-5360.022	7130.982	824.282	-5408.878	7165.296	857.044	-5452.067	7180.535	NA	NA	NA	830.394	-5555.779	7113.360	888.033	-5573.432	7001.677	952.863	-5593.129	6879.570
17812	99.50279	1030.014	-5304.895	6858.660	961.546	-5274.273	6897.544	896.659	-5277.269	6920.556	895.247	-5334.534	6947.088	889.525	-5380.469	6988.822	841.045	-5379.073	7022.081	806.924	-5348.475	7048.074	786.885	-5361.515	7106.829	826.216	-5411.986	7137.324	873.248	-5453.235	7151.872	NA	NA	NA	841.643	-5556.513	7086.003	886.817	-5570.852	6971.280	946.246	-5584.990	6845.252
17813	99.50838	1032.232	-5300.915	6833.861	963.933	-5271.272	6873.291	898.890	-5273.737	6896.326	901.795	-5330.606	6920.496	896.686	-5377.350	6964.265	848.021	-5379.961	6998.766	811.331	-5351.637	7023.078	786.805	-5365.210	7079.214	828.208	-5414.605	7108.597	874.172	-5455.581	7121.836	886.928	-5517.303	7112.441	852.856	-5557.192	7058.193	885.368	-5568.413	6941.109	939.252	-5577.061	6813.004
17814	99.51397	1034.983	-5296.631	6809.092	966.104	-5268.118	6848.861	901.069	-5270.257	6871.794	902.404	-5327.771	6896.926	903.674	-5373.713	6939.431	856.044	-5382.015	6975.567	816.197	-5355.280	6998.102	788.471	-5367.820	7052.350	830.320	-5417.607	7080.054	878.276	-5456.240	7091.309	895.283	-5518.289	7081.624	NA	NA	NA	883.019	-5567.185	6910.567	928.979	-5569.792	6780.301
17815	99.51955	1038.140	-5291.873	6784.678	968.330	-5265.271	6824.181	903.247	-5266.785	6847.107	908.633	-5323.702	6870.081	910.221	-5369.066	6914.241	864.420	-5383.724	6951.984	821.695	-5358.802	6972.863	790.537	-5370.694	7025.095	832.600	-5420.384	7051.385	882.654	-5457.182	7059.736	903.213	-5518.405	7050.160	NA	NA	NA	881.248	-5565.134	6880.771	923.218	-5560.841	6748.362
17816	99.52514	1041.067	-5287.494	6759.702	970.558	-5262.356	6799.294	905.411	-5263.438	6822.155	909.018	-5320.767	6846.468	916.624	-5365.659	6888.953	874.835	-5385.006	6929.837	827.801	-5362.528	6947.288	793.063	-5373.938	6997.137	833.559	-5423.289	7022.943	886.846	-5458.327	7028.006	910.693	-5517.930	7017.968	NA	NA	NA	879.480	-5563.152	6851.167	911.907	-5552.687	6717.303
17817	99.53073	1044.184	-5283.049	6734.657	972.725	-5259.448	6774.277	907.401	-5260.142	6797.352	912.100	-5317.187	6821.304	922.710	-5362.133	6863.595	883.365	-5385.245	6905.759	834.441	-5366.246	6921.255	796.274	-5376.926	6968.890	836.009	-5426.135	6993.967	890.920	-5459.492	6995.508	918.145	-5516.692	6985.463	890.023	-5564.585	6941.392	878.030	-5561.523	6822.746	902.287	-5544.585	6687.316
17818	99.53631	1047.164	-5278.559	6709.641	974.831	-5256.642	6749.072	909.344	-5256.972	6771.834	915.190	-5313.491	6796.241	928.618	-5358.563	6838.115	891.716	-5385.150	6880.999	842.155	-5370.602	6896.223	799.973	-5379.961	6940.155	838.383	-5429.586	6964.856	894.765	-5460.784	6964.118	925.475	-5515.108	6952.564	898.962	-5565.198	6910.813	877.385	-5559.275	6792.497	892.386	-5536.998	6658.513
