NO_OF_FRAMES	285
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-21, 16:46:48	93354.73978522
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
4087	22.82682	NA	NA	NA	310.267	-4442.156	8328.702	299.784	-4509.400	8319.675	352.033	-4536.774	8307.009	410.290	-4554.483	8294.639	449.640	-4643.422	8265.881	NA	NA	NA	447.004	-4706.774	8260.678	441.449	-4774.348	8263.175	439.318	-4842.393	8275.021	440.609	-4902.741	8289.785	447.924	-4965.463	8308.158	467.824	-5034.633	8331.088	NA	NA	NA	NA	NA	NA
4088	22.83240	NA	NA	NA	310.908	-4435.637	8317.245	297.522	-4502.789	8308.370	348.366	-4531.724	8296.366	407.491	-4548.535	8285.494	449.966	-4635.951	8257.837	NA	NA	NA	448.000	-4699.043	8252.848	441.435	-4766.625	8255.731	441.363	-4830.752	8264.774	438.342	-4894.255	8283.781	444.675	-4957.216	8303.504	465.925	-5025.949	8327.238	NA	NA	NA	NA	NA	NA
4089	22.83799	NA	NA	NA	310.697	-4429.178	8306.121	295.697	-4497.627	8296.738	344.760	-4526.643	8285.544	404.290	-4542.654	8275.896	449.922	-4628.273	8249.813	NA	NA	NA	447.875	-4691.869	8245.299	441.072	-4758.519	8248.001	437.888	-4823.418	8260.517	436.094	-4886.011	8277.295	441.618	-4948.672	8298.170	463.487	-5017.204	8322.836	NA	NA	NA	456.644	-5249.696	8394.723
4090	22.84358	309.469	-4352.151	8284.961	311.263	-4422.319	8294.313	294.152	-4490.656	8284.897	329.557	-4524.305	8283.972	401.053	-4536.952	8265.780	449.671	-4620.463	8241.677	NA	NA	NA	448.164	-4684.128	8237.438	440.539	-4750.991	8240.475	436.322	-4815.466	8253.239	434.013	-4877.837	8270.561	438.825	-4940.310	8292.372	460.711	-5008.578	8318.110	NA	NA	NA	458.687	-5242.733	8394.574
4091	22.84916	309.654	-4345.981	8272.180	311.206	-4416.138	8282.760	292.324	-4484.328	8273.010	326.113	-4519.224	8273.109	397.485	-4531.088	8255.445	449.291	-4612.943	8233.228	NA	NA	NA	448.225	-4676.319	8229.540	440.181	-4743.403	8232.646	434.814	-4807.712	8245.827	432.098	-4869.513	8263.332	436.256	-4931.784	8285.944	457.643	-4999.986	8313.156	NA	NA	NA	459.635	-5234.951	8393.907
4092	22.85475	309.806	-4339.984	8259.015	311.796	-4409.866	8270.782	291.181	-4477.390	8260.522	322.813	-4514.023	8261.944	393.889	-4525.541	8244.841	448.706	-4605.248	8224.604	NA	NA	NA	448.459	-4668.617	8221.102	439.692	-4735.406	8224.456	433.587	-4799.763	8237.978	430.320	-4861.257	8255.693	434.011	-4923.262	8279.165	454.435	-4991.292	8307.720	NA	NA	NA	461.590	-5226.257	8391.711
4093	22.86034	309.781	-4333.976	8245.335	312.388	-4403.827	8258.446	290.017	-4470.376	8247.936	319.777	-4508.726	8250.568	390.419	-4517.833	8234.024	448.398	-4597.677	8215.483	NA	NA	NA	448.565	-4660.937	8212.530	439.552	-4727.410	8215.961	432.256	-4791.801	8229.979	428.508	-4852.931	8247.730	431.925	-4915.033	8271.964	451.368	-4982.665	8301.972	NA	NA	NA	NA	NA	NA
4094	22.86592	309.839	-4328.308	8231.503	313.037	-4397.911	8245.968	288.954	-4463.602	8235.065	316.838	-4503.394	8239.007	386.970	-4512.360	8223.090	438.408	-4589.634	8206.476	NA	NA	NA	448.676	-4653.207	8203.608	439.105	-4719.579	8207.336	431.300	-4783.829	8221.556	426.665	-4841.810	8238.938	429.750	-4906.723	8264.320	448.485	-4973.859	8295.820	NA	NA	NA	485.105	-5208.781	8379.430
4095	22.87151	309.930	-4322.693	8217.489	314.148	-4391.959	8232.946	288.213	-4456.788	8221.828	313.723	-4497.989	8227.233	383.540	-4506.879	8212.024	435.771	-4580.932	8196.900	NA	NA	NA	449.061	-4645.618	8194.115	441.182	-4709.822	8195.943	430.369	-4775.984	8212.865	425.168	-4833.546	8230.544	427.627	-4898.345	8256.371	445.881	-4965.185	8289.453	NA	NA	NA	488.491	-5196.862	8381.542
4096	22.87709	309.991	-4317.150	8203.065	315.179	-4386.151	8219.582	287.421	-4450.101	8208.570	310.641	-4492.587	8215.305	380.147	-4501.450	8200.792	433.140	-4573.173	8186.184	NA	NA	NA	449.688	-4637.923	8185.486	440.840	-4701.935	8186.802	429.522	-4768.163	8203.798	423.771	-4825.723	8221.701	425.491	-4890.098	8248.016	443.386	-4956.188	8282.781	NA	NA	NA	493.165	-5183.871	8384.570
