NO_OF_FRAMES	200
NO_OF_CAMERAS	23
NO_OF_MARKERS	11
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 17:24:32	9219.12088556
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	
7178	40.09497	184.019	-4676.292	7575.334	233.741	-4751.964	7642.397	239.516	-4838.993	7641.755	243.403	-4914.689	7627.535	288.499	-4973.734	7654.709	310.147	-5021.520	7709.661	317.063	-5118.236	7824.618	336.485	-5167.829	7890.395	NA	NA	NA	398.558	-5197.151	8099.193	531.208	-5165.332	8130.492
7179	40.10056	179.887	-4674.210	7557.543	227.790	-4751.432	7622.794	239.688	-4835.333	7624.426	243.760	-4911.442	7611.131	289.276	-4971.165	7635.410	312.284	-5019.989	7688.645	314.184	-5114.675	7805.271	332.122	-5163.818	7872.084	370.753	-5162.771	7987.596	391.097	-5181.296	8085.112	NA	NA	NA
7180	40.10615	175.424	-4672.323	7539.354	223.906	-4747.725	7605.142	240.104	-4831.410	7606.778	244.353	-4908.103	7594.944	289.634	-4968.860	7615.923	314.704	-5018.687	7667.314	311.662	-5111.116	7787.257	324.557	-5166.833	7864.854	367.038	-5158.631	7969.935	383.288	-5164.876	8069.212	NA	NA	NA
7181	40.11173	170.754	-4670.641	7520.835	219.342	-4745.752	7586.711	240.172	-4827.109	7588.086	244.512	-4904.215	7576.785	289.928	-4966.438	7596.906	323.576	-5015.871	7655.494	309.400	-5107.593	7770.002	320.273	-5162.613	7845.825	363.214	-5152.055	7951.231	376.304	-5151.707	8049.173	NA	NA	NA
7182	40.11732	165.918	-4669.057	7502.109	214.198	-4743.708	7567.487	240.355	-4822.896	7569.077	245.167	-4900.689	7560.205	288.859	-4963.884	7577.176	319.405	-5016.945	7624.037	307.302	-5104.140	7752.930	317.100	-5157.320	7826.778	358.962	-5145.599	7932.046	368.018	-5135.723	8029.301	NA	NA	NA
7183	40.12291	167.467	-4669.755	7493.326	209.388	-4741.670	7548.101	240.600	-4818.593	7549.667	245.759	-4897.434	7543.319	289.187	-4961.406	7559.125	326.258	-5017.699	7610.452	305.271	-5100.789	7735.467	313.392	-5151.727	7807.099	354.898	-5136.974	7912.134	359.510	-5119.449	8008.339	NA	NA	NA
7184	40.12849	161.192	-4668.635	7472.954	204.910	-4739.429	7528.732	240.332	-4814.502	7529.328	246.680	-4893.599	7526.690	289.194	-4958.788	7541.400	328.180	-5016.689	7589.261	303.211	-5097.574	7717.039	309.270	-5145.945	7786.897	351.008	-5126.089	7889.949	350.785	-5103.253	7985.895	440.430	-5042.156	8074.809
7185	40.13408	154.313	-4666.676	7451.836	200.731	-4737.107	7509.046	239.901	-4810.521	7508.538	247.669	-4889.839	7509.592	288.475	-4955.790	7523.262	330.727	-5014.024	7568.665	301.027	-5094.527	7697.070	304.854	-5140.083	7766.281	346.568	-5116.993	7869.527	342.238	-5088.129	7961.992	422.160	-5029.005	8062.221
7186	40.13966	148.778	-4665.156	7432.113	197.455	-4734.426	7489.938	241.981	-4806.964	7488.939	248.580	-4885.884	7492.202	289.016	-4952.911	7506.134	330.038	-5013.699	7546.095	298.622	-5091.682	7674.986	300.265	-5134.252	7745.363	342.304	-5107.949	7848.661	333.410	-5072.498	7937.500	404.939	-5018.374	8047.368
7187	40.14525	143.837	-4663.812	7412.931	194.030	-4732.262	7469.420	241.364	-4803.411	7467.653	249.258	-4881.961	7474.087	288.415	-4949.643	7488.064	329.577	-5012.732	7524.703	296.741	-5089.075	7652.632	295.622	-5128.562	7724.253	338.304	-5099.102	7827.706	324.820	-5057.866	7911.957	386.908	-5008.198	8030.876
7188	40.15084	139.648	-4663.068	7394.230	191.010	-4729.806	7449.078	240.217	-4800.179	7445.992	252.330	-4878.194	7456.130	286.967	-4946.848	7469.021	329.296	-5011.442	7503.451	294.598	-5086.828	7629.527	291.046	-5123.124	7703.060	NA	NA	NA	316.333	-5044.177	7885.499	368.251	-4998.310	8012.422
7189	40.15642	134.223	-4661.079	7373.483	188.484	-4727.671	7428.370	239.092	-4796.954	7424.175	252.529	-4874.546	7436.410	286.376	-4943.448	7450.175	328.836	-5009.680	7482.322	289.692	-5084.877	7594.717	286.658	-5118.046	7681.895	NA	NA	NA	308.036	-5031.242	7858.691	349.151	-4988.543	7991.682
7190	40.16201	130.098	-4659.698	7353.523	185.555	-4725.606	7407.109	237.851	-4793.967	7402.195	252.471	-4871.103	7416.019	285.939	-4940.035	7430.990	326.730	-5008.201	7459.546	291.756	-5085.109	7580.965	282.578	-5113.441	7660.868	NA	NA	NA	299.936	-5019.460	7831.381	329.792	-4978.729	7968.330
7191	40.16760	126.604	-4657.358	7332.345	183.195	-4723.807	7386.248	236.581	-4791.165	7379.805	252.036	-4867.713	7395.134	285.592	-4936.800	7411.221	325.930	-5005.712	7438.107	290.057	-5083.297	7557.418	276.763	-5106.744	7628.418	NA	NA	NA	291.912	-5007.877	7804.116	309.564	-4968.099	7942.485
7192	40.17318	124.190	-4656.736	7313.573	180.033	-4722.174	7364.460	235.409	-4788.202	7357.396	251.503	-4864.432	7373.435	279.261	-4932.872	7381.402	325.741	-5003.235	7416.684	289.854	-5081.464	7534.440	276.029	-5102.388	7613.981	NA	NA	NA	284.085	-4997.136	7776.621	288.930	-4956.188	7914.461
