NO_OF_FRAMES	232
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-26, 16:26:46	87164.15977751
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
5615	31.36313	388.579	-4246.976	7319.397	410.259	-4294.188	7347.829	432.708	-4338.168	7383.844	447.469	-4386.860	7418.926	461.401	-4431.759	7461.565	482.488	-4475.473	7511.666	509.645	-4509.406	7565.095	530.228	-4537.233	7615.719	544.002	-4565.908	7684.951	544.536	-4582.558	7759.522	534.584	-4573.438	7822.568	534.518	-4536.782	7894.912	558.408	-4488.250	7996.324
5616	31.36872	388.166	-4242.049	7298.846	409.868	-4288.600	7327.740	432.883	-4332.487	7363.777	447.959	-4381.242	7398.450	461.658	-4425.271	7442.224	482.186	-4468.556	7493.036	509.369	-4501.730	7546.851	530.596	-4528.744	7597.708	545.335	-4555.922	7667.309	546.760	-4571.247	7742.213	536.953	-4561.294	7804.988	536.057	-4522.789	7876.909	559.645	-4470.478	7975.895
5617	31.37430	387.655	-4237.166	7277.969	409.484	-4282.917	7307.351	433.060	-4326.799	7343.536	448.365	-4375.044	7378.314	461.997	-4418.586	7422.595	481.990	-4461.618	7474.064	509.192	-4494.156	7528.258	530.876	-4520.314	7579.344	546.543	-4546.021	7649.356	548.963	-4559.824	7724.512	539.341	-4549.046	7787.180	537.662	-4508.909	7858.195	560.506	-4452.817	7955.139
5618	31.37989	387.073	-4232.253	7256.830	409.057	-4277.276	7286.787	433.105	-4321.118	7323.064	448.823	-4369.063	7357.973	462.356	-4412.063	7402.813	481.850	-4454.722	7454.851	509.108	-4486.730	7509.242	531.278	-4512.056	7560.549	547.539	-4536.135	7631.109	551.049	-4548.546	7706.486	541.862	-4536.732	7768.842	539.308	-4495.133	7839.188	560.978	-4435.393	7934.061
5619	31.38547	386.471	-4227.272	7235.441	408.595	-4272.054	7265.906	433.107	-4315.467	7302.344	449.270	-4362.917	7337.547	462.701	-4405.659	7382.698	481.759	-4447.866	7435.246	509.481	-4480.064	7489.397	531.919	-4504.344	7541.038	548.516	-4526.356	7612.376	553.111	-4537.329	7687.971	544.384	-4524.171	7750.278	540.810	-4481.446	7819.887	561.234	-4418.068	7912.788
5620	31.39106	385.898	-4222.322	7213.833	408.141	-4267.202	7244.570	433.069	-4309.715	7281.388	449.702	-4356.906	7316.929	463.091	-4399.393	7362.328	481.720	-4441.151	7415.338	509.291	-4472.754	7469.886	532.030	-4496.043	7521.813	549.846	-4516.936	7593.018	555.037	-4526.060	7669.044	546.847	-4511.651	7731.160	542.053	-4467.785	7800.287	561.388	-4401.110	7891.250
5621	31.39665	385.419	-4217.334	7191.980	407.627	-4262.268	7222.925	432.997	-4304.027	7260.124	450.038	-4350.393	7296.809	463.541	-4393.109	7341.698	481.756	-4434.346	7395.103	509.091	-4465.432	7450.062	532.041	-4487.729	7502.291	551.086	-4507.409	7573.315	557.054	-4514.617	7649.758	549.354	-4499.041	7711.678	543.513	-4454.092	7780.436	559.914	-4383.871	7870.178
5622	31.40223	384.851	-4212.363	7169.771	407.007	-4257.337	7201.004	432.858	-4298.256	7238.833	450.432	-4344.155	7275.759	464.029	-4386.763	7320.924	481.842	-4427.593	7374.527	508.922	-4457.990	7429.975	532.113	-4479.404	7482.493	551.916	-4497.631	7553.666	559.075	-4503.165	7630.167	552.011	-4486.467	7691.482	545.380	-4440.458	7759.857	559.558	-4367.918	7848.059
5623	31.40782	384.423	-4207.458	7147.511	406.468	-4252.339	7178.860	432.673	-4292.438	7217.233	450.840	-4337.990	7254.418	464.534	-4380.226	7299.762	481.976	-4420.764	7353.796	508.737	-4450.588	7409.687	532.122	-4471.072	7462.455	552.656	-4487.902	7533.795	560.932	-4491.756	7610.172	554.588	-4473.903	7671.331	547.047	-4426.894	7738.975	559.302	-4352.334	7825.870
5624	31.41341	384.059	-4202.661	7124.813	405.940	-4247.191	7156.522	432.485	-4286.685	7195.366	451.191	-4331.668	7232.909	465.144	-4373.669	7278.395	482.151	-4413.865	7332.722	508.577	-4443.151	7389.080	532.183	-4462.792	7442.106	553.452	-4478.211	7513.540	562.821	-4480.205	7589.862	557.198	-4461.339	7650.798	548.685	-4413.357	7717.653	558.970	-4337.165	7803.355
