NO_OF_FRAMES	224
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-29, 12:34:19	11814.01908307
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
13383	74.75978	1303.576	-4678.817	7921.747	1265.672	-4689.476	7958.684	1199.181	-4701.832	7947.788	1179.842	-4748.416	7933.995	1159.631	-4817.811	7916.836	1110.228	-4840.728	7936.919	1045.687	-4827.432	7942.632	991.707	-4825.853	7951.114	924.700	-4839.375	7967.696	862.958	-4858.167	7992.471	803.456	-4877.585	8013.435	751.411	-4883.945	8047.407	709.354	-4869.072	8113.474	651.085	-4844.317	8161.960	697.196	-4808.674	8200.699	563.368	-4730.457	8267.563
13384	74.76536	1310.875	-4676.806	7907.418	1272.620	-4687.076	7944.252	1206.105	-4697.159	7934.348	1185.823	-4743.476	7921.048	1166.702	-4813.276	7903.948	1118.323	-4838.024	7924.030	1053.663	-4825.032	7929.201	999.873	-4822.976	7937.976	934.472	-4835.824	7957.323	870.936	-4854.329	7979.603	811.365	-4872.764	8000.748	759.751	-4878.127	8035.412	718.983	-4861.950	8102.593	664.294	-4834.983	8152.979	701.012	-4801.559	8191.888	581.807	-4718.360	8260.490
13385	74.77095	1318.166	-4674.762	7892.775	1279.508	-4684.736	7929.413	NA	NA	NA	1191.792	-4738.459	7908.030	1173.771	-4808.596	7890.992	1126.376	-4835.302	7910.892	1060.654	-4823.750	7913.712	1007.916	-4820.144	7924.351	940.993	-4833.029	7941.412	878.858	-4850.455	7966.243	819.196	-4867.968	7987.650	768.259	-4872.160	8023.244	721.779	-4857.127	8082.574	678.319	-4824.923	8141.965	705.441	-4794.555	8182.572	630.624	-4711.190	8242.084
13386	74.77654	1325.369	-4672.729	7877.597	1286.562	-4682.359	7914.657	NA	NA	NA	1197.688	-4733.442	7894.799	1180.801	-4803.850	7877.967	1134.427	-4832.573	7897.501	1068.621	-4821.611	7899.824	1015.897	-4817.359	7910.338	950.332	-4829.129	7929.919	884.686	-4847.885	7948.964	827.138	-4863.147	7974.327	776.807	-4866.227	8010.821	732.217	-4849.797	8071.711	691.607	-4816.140	8131.967	NA	NA	NA	657.988	-4707.754	8233.840
13387	74.78212	1332.560	-4670.711	7862.217	1293.448	-4680.065	7899.197	NA	NA	NA	1199.755	-4729.933	7874.249	1187.668	-4799.051	7864.463	1142.462	-4829.813	7883.960	1077.608	-4819.337	7887.694	1024.073	-4814.570	7896.300	958.309	-4825.712	7915.778	894.806	-4842.348	7938.883	835.270	-4858.276	7960.931	785.590	-4860.196	7998.284	742.561	-4842.523	8060.314	708.200	-4806.251	8122.085	NA	NA	NA	659.871	-4700.282	8225.267
13388	74.78771	1339.679	-4668.724	7846.379	1300.407	-4677.801	7883.642	NA	NA	NA	1205.678	-4724.860	7860.633	1198.023	-4792.203	7857.876	1150.468	-4827.096	7870.157	1085.661	-4817.283	7873.578	1032.281	-4811.790	7882.051	966.363	-4822.119	7901.447	902.829	-4838.107	7924.822	843.397	-4853.378	7947.206	794.509	-4854.205	7985.586	752.769	-4835.374	8048.303	721.014	-4797.525	8111.198	NA	NA	NA	NA	NA	NA
13389	74.79330	1346.638	-4666.745	7830.025	1307.244	-4675.616	7867.666	NA	NA	NA	1211.531	-4719.815	7846.640	1204.652	-4787.520	7843.920	1158.479	-4824.361	7856.221	1093.775	-4815.316	7859.369	1040.231	-4809.113	7867.022	974.328	-4818.506	7886.602	910.841	-4833.766	7910.396	851.598	-4848.438	7933.255	803.392	-4848.251	7972.504	763.070	-4828.251	8036.230	745.920	-4788.507	8098.859	NA	NA	NA	NA	NA	NA
13390	74.79888	1353.505	-4664.813	7813.394	1313.901	-4673.533	7851.141	1248.927	-4670.803	7850.966	1217.458	-4714.801	7832.409	1211.221	-4782.796	7829.932	1167.763	-4821.088	7845.458	1101.900	-4813.308	7844.973	1048.317	-4806.394	7852.027	982.186	-4814.952	7871.260	918.836	-4829.381	7895.586	859.775	-4843.439	7918.932	812.374	-4842.302	7959.171	773.244	-4821.255	8023.542	753.114	-4780.951	8088.708	NA	NA	NA	718.827	-4661.538	8202.004
13391	74.80447	1360.241	-4662.866	7796.597	1320.660	-4671.522	7834.794	1256.114	-4666.730	7836.264	1223.374	-4709.862	7817.751	1217.670	-4778.085	7815.667	1175.635	-4818.342	7830.972	1110.096	-4810.807	7830.643	1056.460	-4803.635	7836.755	990.355	-4811.209	7856.124	926.865	-4824.941	7880.542	868.142	-4838.495	7904.419	821.535	-4836.334	7945.630	783.578	-4814.243	8010.641	741.795	-4772.722	8077.040	723.786	-4732.935	8128.951	738.334	-4653.476	8192.077
13392	74.81006	1366.842	-4660.949	7779.573	1327.324	-4669.617	7818.137	1263.091	-4662.822	7820.767	1229.307	-4704.976	7802.857	1223.990	-4773.364	7801.012	1183.601	-4815.537	7816.438	1116.937	-4809.649	7813.300	1064.560	-4800.946	7821.148	998.360	-4807.423	7840.396	935.160	-4820.381	7865.598	876.700	-4833.528	7889.807	830.841	-4830.354	7931.802	793.954	-4807.272	7997.393	759.448	-4763.680	8066.466	741.439	-4724.015	8118.099	757.168	-4645.895	8181.734
