NO_OF_FRAMES	229
NO_OF_CAMERAS	23
NO_OF_MARKERS	17
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:51:05	6347.40025363
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	
2006	11.20112	451.797	-4595.000	7338.597	458.217	-4634.557	7357.091	474.434	-4679.272	7388.967	481.622	-4704.682	7427.047	477.947	-4725.204	7473.867	475.407	-4752.038	7530.099	478.899	-4784.185	7584.353	485.580	-4816.491	7631.149	485.604	-4847.704	7677.667	476.926	-4876.628	7728.412	456.688	-4907.762	7792.119	435.001	-4934.814	7838.203	400.980	-4977.042	7889.021	366.498	-5007.512	7944.545	338.412	-5028.611	8011.481	319.194	-5032.242	8083.403	293.846	-5024.521	8180.468
2007	11.20670	451.267	-4592.192	7319.646	456.445	-4630.968	7338.284	472.606	-4676.838	7369.404	480.498	-4702.970	7406.661	476.559	-4723.841	7453.919	474.792	-4750.234	7509.958	478.186	-4780.708	7564.883	485.123	-4812.050	7612.226	485.634	-4843.394	7658.880	477.461	-4872.372	7709.715	457.493	-4903.529	7773.443	434.252	-4935.405	7818.324	400.850	-4966.899	7871.128	364.698	-5001.285	7925.891	335.357	-5020.360	7993.027	314.105	-5022.255	8064.479	284.709	-5009.979	8159.712
2008	11.21229	451.116	-4589.697	7300.335	454.781	-4627.262	7319.367	470.462	-4674.151	7349.400	478.976	-4701.324	7386.172	475.829	-4722.383	7433.257	474.108	-4748.316	7489.549	477.664	-4777.375	7545.119	484.787	-4808.119	7592.943	485.473	-4838.756	7639.694	477.824	-4868.043	7690.718	458.174	-4899.043	7754.624	434.530	-4930.776	7799.350	400.093	-4961.588	7851.988	362.995	-4995.034	7906.792	332.385	-5012.360	7974.139	309.170	-5012.402	8045.021	275.656	-4996.273	8138.063
2009	11.21788	451.398	-4589.207	7281.375	453.339	-4623.811	7300.233	468.125	-4671.634	7329.608	477.207	-4699.593	7365.495	474.934	-4721.447	7412.247	473.400	-4746.325	7468.881	477.200	-4774.288	7525.344	484.496	-4804.299	7573.589	485.230	-4834.828	7620.458	478.186	-4863.641	7671.276	454.331	-4893.959	7738.237	434.779	-4926.130	7780.204	399.447	-4956.399	7832.641	361.459	-4988.799	7887.422	329.467	-5004.368	7954.781	304.259	-5002.672	8025.049	266.721	-4983.520	8115.542
2010	11.22346	451.361	-4586.273	7261.166	452.048	-4620.000	7280.752	465.848	-4668.800	7308.859	475.150	-4697.789	7344.464	473.692	-4720.320	7391.123	472.492	-4744.569	7448.044	476.818	-4771.148	7505.083	484.362	-4800.137	7553.881	484.894	-4830.078	7600.801	478.334	-4859.301	7651.835	455.400	-4889.610	7718.589	435.216	-4921.341	7760.881	398.814	-4950.938	7813.092	360.025	-4982.323	7867.873	326.423	-4996.492	7934.980	299.320	-4993.195	8004.348	257.755	-4971.289	8092.255
2011	11.22905	451.298	-4582.414	7240.753	450.790	-4617.312	7260.595	463.467	-4665.676	7288.519	472.846	-4695.944	7323.404	472.112	-4719.007	7369.820	470.609	-4743.233	7428.324	476.286	-4767.809	7484.561	484.183	-4795.892	7533.845	484.630	-4826.052	7580.925	474.518	-4853.664	7634.284	455.467	-4887.670	7697.778	436.269	-4912.110	7742.348	394.721	-4945.025	7795.843	358.184	-4976.702	7847.729	323.349	-4988.646	7914.586	294.444	-4983.992	7983.160	248.301	-4959.732	8068.099
2012	11.23464	NA	NA	NA	450.140	-4613.292	7241.439	461.198	-4662.477	7268.039	468.149	-4693.488	7304.548	470.299	-4717.519	7348.376	469.576	-4741.466	7407.076	475.682	-4764.500	7463.768	484.057	-4791.946	7513.547	484.431	-4821.354	7560.840	475.166	-4849.372	7613.983	457.214	-4880.468	7678.343	432.385	-4906.758	7725.061	394.416	-4939.846	7775.731	355.230	-4970.872	7829.104	319.806	-4981.116	7893.789	289.508	-4975.101	7961.353	239.774	-4948.367	8043.560
2013	11.24022	NA	NA	NA	449.415	-4610.350	7220.269	458.979	-4659.402	7247.284	465.694	-4691.079	7283.250	468.601	-4715.525	7326.394	468.395	-4739.526	7385.520	474.437	-4761.813	7443.913	481.121	-4786.909	7494.489	481.257	-4816.157	7542.099	475.705	-4844.814	7593.343	457.873	-4875.659	7657.881	433.014	-4901.716	7704.639	394.232	-4933.883	7755.445	352.805	-4966.430	7807.798	316.002	-4973.548	7872.370	283.397	-4966.422	7938.757	231.995	-4937.569	8018.681
2014	11.24581	NA	NA	NA	448.268	-4607.016	7199.820	456.887	-4656.253	7226.288	463.661	-4688.835	7261.717	466.374	-4713.565	7304.504	467.053	-4737.647	7363.885	473.864	-4758.758	7422.326	480.453	-4782.766	7473.607	481.054	-4812.009	7521.496	476.228	-4839.953	7572.357	458.410	-4870.935	7637.305	433.652	-4896.729	7684.021	393.970	-4928.621	7734.954	351.280	-4959.572	7787.046	312.744	-4965.836	7850.754	278.240	-4957.938	7915.952	224.304	-4927.136	7993.522
2015	11.25140	NA	NA	NA	447.382	-4603.954	7177.678	454.934	-4653.278	7205.123	461.524	-4686.063	7240.003	464.268	-4711.178	7282.676	465.466	-4735.816	7341.980	473.204	-4756.125	7400.768	480.378	-4779.271	7453.093	481.606	-4807.703	7500.139	476.674	-4835.522	7551.282	458.922	-4866.280	7616.432	434.242	-4891.479	7663.296	393.720	-4922.641	7714.231	349.804	-4952.523	7765.838	309.506	-4958.170	7828.673	273.271	-4949.364	7892.835	216.466	-4917.448	7967.855
