NO_OF_FRAMES	321
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 12:20:35	11529.31991203
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
13333	74.48045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	766.227	-4666.318	8504.555	730.790	-4666.684	8471.530	687.140	-4662.863	8428.118	NA	NA	NA	648.434	-4745.847	8353.292	635.564	-4797.529	8333.247	607.976	-4856.315	8311.644	574.407	-4908.374	8286.761	539.792	-4957.731	8260.461	497.803	-5009.051	8237.770	484.119	-5070.402	8252.719	500.686	-5132.251	8290.081	480.058	-5198.689	8304.114	460.165	-5254.248	8313.944
13334	74.48603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	772.428	-4657.216	8501.660	737.274	-4660.462	8469.462	692.179	-4654.412	8427.583	NA	NA	NA	NA	NA	NA	640.632	-4789.570	8333.476	616.932	-4849.018	8311.650	582.104	-4902.315	8289.098	547.666	-4952.944	8264.526	503.863	-5002.178	8240.020	484.160	-5062.889	8248.511	496.132	-5125.857	8285.311	484.635	-5193.744	8304.507	457.238	-5254.178	8310.258
13335	74.49162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	778.572	-4648.099	8497.619	743.872	-4654.868	8466.938	697.499	-4646.103	8426.581	NA	NA	NA	NA	NA	NA	645.319	-4781.626	8333.514	623.522	-4841.557	8311.888	589.575	-4896.203	8290.814	555.470	-4947.778	8268.235	510.678	-4996.159	8242.710	484.644	-5054.521	8244.632	492.085	-5119.218	8279.779	487.434	-5187.730	8302.949	454.934	-5255.521	8307.220
13336	74.49721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	784.845	-4639.209	8493.820	750.427	-4649.511	8464.280	702.921	-4637.877	8425.162	NA	NA	NA	NA	NA	NA	649.782	-4773.663	8333.280	629.460	-4834.173	8311.934	596.763	-4889.726	8292.223	563.304	-4942.492	8271.166	517.814	-4990.417	8245.566	486.085	-5045.600	8241.630	488.305	-5112.005	8273.620	NA	NA	NA	453.338	-5257.108	8304.219
13337	74.50279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	791.113	-4630.159	8489.897	756.827	-4644.398	8461.060	708.503	-4629.825	8423.391	NA	NA	NA	NA	NA	NA	653.949	-4765.770	8332.739	635.291	-4826.833	8311.523	603.801	-4883.445	8293.134	571.024	-4937.093	8273.540	525.233	-4985.091	8248.330	488.121	-5036.109	8239.964	484.908	-5104.326	8266.843	NA	NA	NA	452.126	-5257.541	8301.166
13338	74.50838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	797.565	-4621.120	8485.713	763.468	-4639.469	8457.381	714.332	-4622.516	8421.206	NA	NA	NA	NA	NA	NA	657.756	-4757.944	8332.084	640.748	-4819.390	8310.947	610.797	-4876.892	8293.511	578.596	-4931.313	8275.297	532.523	-4979.622	8251.028	491.469	-5027.153	8239.021	481.743	-5096.169	8260.181	486.881	-5164.533	8290.799	NA	NA	NA
13339	74.51397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	804.077	-4612.167	8481.310	770.052	-4634.737	8453.728	720.331	-4614.953	8418.728	NA	NA	NA	NA	NA	NA	661.351	-4750.067	8331.114	645.753	-4811.872	8310.286	617.651	-4870.348	8293.494	585.973	-4925.495	8276.277	539.909	-4974.268	8253.375	496.220	-5018.676	8238.503	480.097	-5090.892	8254.082	485.326	-5156.423	8284.785	NA	NA	NA
13340	74.51955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	810.592	-4602.729	8474.868	776.621	-4630.233	8449.791	726.496	-4607.709	8415.873	NA	NA	NA	NA	NA	NA	664.994	-4742.177	8329.872	650.814	-4804.442	8309.285	624.281	-4863.662	8293.134	593.206	-4919.243	8277.019	547.319	-4968.882	8255.100	501.642	-5010.513	8238.749	477.601	-5081.481	8249.597	484.401	-5147.025	8280.530	450.750	-5232.423	8293.032
13341	74.52514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	817.272	-4593.979	8469.835	783.193	-4626.088	8445.666	NA	NA	NA	NA	NA	NA	NA	NA	NA	668.879	-4734.225	8328.120	655.712	-4797.137	8308.060	632.066	-4856.784	8291.706	600.219	-4912.935	8277.047	554.572	-4963.233	8256.356	507.260	-5002.768	8239.107	476.790	-5071.530	8245.843	483.204	-5137.136	8276.646	454.865	-5221.497	8291.747
13342	74.53073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	823.986	-4585.245	8464.453	789.790	-4622.372	8441.183	NA	NA	NA	NA	NA	NA	NA	NA	NA	671.908	-4726.453	8326.491	660.747	-4789.529	8306.424	637.993	-4849.898	8290.712	607.229	-4906.553	8276.575	561.876	-4957.809	8257.232	512.274	-4992.415	8239.806	477.547	-5061.445	8242.711	481.827	-5127.551	8272.444	459.415	-5213.018	8291.715
