NO_OF_FRAMES	256
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:34:50	5372.94525032
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
3216	17.96089	NA	NA	NA	NA	NA	NA	912.390	-4472.547	8333.302	905.397	-4508.576	8341.988	869.936	-4547.882	8290.855	825.648	-4555.444	8234.229	783.147	-4624.989	8200.188	771.716	-4694.172	8185.370	756.456	-4745.871	8179.700	735.411	-4796.068	8170.955	703.155	-4838.030	8164.279	652.333	-4885.214	8170.386	584.113	-4950.824	8200.375	508.363	-5020.467	8254.694	455.057	-5073.517	8297.904	453.123	-5137.292	8312.867
3217	17.96648	853.060	-4373.479	8292.459	NA	NA	NA	917.062	-4463.907	8317.568	911.561	-4493.269	8333.173	NA	NA	NA	830.917	-4549.585	8225.501	786.986	-4617.240	8190.970	775.244	-4686.623	8176.996	761.006	-4738.729	8171.994	741.692	-4789.821	8163.806	710.472	-4832.624	8157.127	659.376	-4878.505	8163.125	589.524	-4943.669	8192.159	514.370	-5012.103	8248.678	459.681	-5061.887	8292.995	445.284	-5125.266	8310.256
3218	17.97207	856.905	-4365.563	8278.775	859.889	-4407.081	8298.109	920.801	-4453.663	8303.337	917.117	-4463.052	8328.658	NA	NA	NA	836.571	-4544.042	8217.220	790.894	-4609.598	8181.623	778.720	-4679.004	8168.305	765.360	-4731.485	8163.948	747.787	-4783.369	8156.404	715.365	-4828.112	8151.576	666.641	-4872.869	8155.205	595.392	-4936.625	8183.878	520.635	-5003.946	8242.137	465.395	-5051.473	8288.115	431.921	-5108.993	8312.748
3219	17.97765	860.728	-4357.950	8264.814	862.548	-4399.827	8284.036	922.837	-4446.574	8289.167	923.951	-4456.331	8317.499	NA	NA	NA	842.630	-4538.876	8208.622	795.175	-4601.834	8171.742	782.278	-4671.288	8159.156	769.811	-4724.138	8155.448	753.690	-4776.609	8148.745	722.266	-4822.224	8144.062	673.830	-4867.289	8147.068	601.451	-4929.774	8175.418	526.572	-4995.709	8235.045	470.810	-5041.353	8282.184	423.392	-5088.460	8312.157
3220	17.98324	864.535	-4350.836	8250.364	863.758	-4386.380	8272.462	923.890	-4441.239	8274.929	NA	NA	NA	NA	NA	NA	848.748	-4533.965	8199.938	804.546	-4593.580	8160.249	785.989	-4663.518	8149.616	774.387	-4716.587	8146.638	759.359	-4769.674	8140.792	728.962	-4816.098	8136.121	681.041	-4861.849	8138.706	607.850	-4923.325	8166.654	532.412	-4987.484	8227.229	475.914	-5034.960	8276.185	421.925	-5067.419	8310.690
3221	17.98883	868.222	-4342.340	8236.305	865.876	-4383.155	8254.371	924.683	-4436.257	8260.496	NA	NA	NA	NA	NA	NA	855.009	-4529.383	8191.055	810.252	-4585.815	8149.583	789.740	-4655.676	8139.577	778.902	-4708.943	8137.467	764.828	-4762.624	8132.536	735.393	-4809.693	8127.924	688.036	-4856.244	8130.174	614.521	-4917.074	8157.628	538.775	-4979.383	8218.653	480.065	-5015.257	8270.750	424.454	-5047.150	8309.561
3222	17.99441	871.936	-4336.157	8220.753	868.361	-4382.087	8235.361	925.936	-4430.226	8245.739	NA	NA	NA	911.258	-4522.801	8240.984	862.012	-4524.985	8181.697	815.893	-4578.202	8138.671	793.364	-4647.787	8129.327	783.180	-4701.267	8128.031	765.057	-4755.777	8124.946	741.824	-4803.138	8119.564	693.718	-4851.854	8122.782	621.522	-4911.048	8148.479	544.802	-4971.588	8209.905	484.775	-5004.617	8263.382	426.934	-5028.240	8303.626
3223	18.00000	875.655	-4332.069	8203.932	870.673	-4375.113	8221.031	927.168	-4424.343	8230.953	NA	NA	NA	918.055	-4517.880	8231.468	868.576	-4520.984	8172.449	824.652	-4570.224	8125.516	796.978	-4639.900	8118.685	787.159	-4693.490	8118.243	770.210	-4748.389	8115.729	748.321	-4796.550	8110.939	701.004	-4845.958	8114.094	628.524	-4905.059	8139.481	551.346	-4963.843	8200.480	489.013	-4993.127	8254.804	430.490	-5006.285	8300.255
3224	18.00559	879.115	-4326.323	8187.652	872.915	-4368.327	8206.265	928.395	-4417.983	8216.207	NA	NA	NA	924.841	-4511.926	8221.861	875.306	-4517.122	8163.120	829.881	-4562.861	8114.009	800.505	-4631.952	8107.622	790.974	-4685.666	8108.007	780.958	-4740.540	8105.645	750.725	-4790.452	8104.104	708.334	-4839.969	8105.292	635.525	-4899.142	8130.271	558.011	-4956.163	8190.879	493.294	-4981.625	8245.558	435.122	-4990.542	8293.249
3225	18.01117	882.513	-4320.558	8171.247	875.809	-4361.032	8195.282	931.491	-4421.001	8200.209	966.512	-4437.723	8229.037	931.742	-4505.599	8211.771	882.344	-4513.541	8153.545	832.110	-4556.303	8104.094	807.956	-4623.686	8096.032	799.446	-4677.435	8097.373	786.037	-4732.937	8096.009	756.975	-4783.574	8094.911	715.632	-4833.893	8096.302	642.664	-4893.200	8120.590	563.890	-4948.510	8181.012	497.691	-4970.541	8235.544	440.098	-4984.766	8280.354
