NO_OF_FRAMES	240
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 13:04:03	7654.40460165
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
2074	11.58101	719.613	-4376.321	7176.604	709.276	-4396.889	7188.424	721.887	-4438.348	7194.712	710.468	-4485.141	7213.983	664.781	-4484.081	7222.577	613.384	-4473.952	7227.923	582.788	-4514.370	7246.924	616.094	-4562.443	7269.420	656.015	-4587.424	7299.768	685.494	-4608.549	7341.672	701.664	-4635.357	7402.678	699.108	-4650.256	7462.811	695.856	-4641.214	7530.701	690.348	-4610.986	7593.426	688.283	-4556.199	7634.753	682.497	-4500.416	7687.489	680.934	-4452.084	7744.487	691.195	-4382.239	7814.494
2075	11.58659	721.341	-4371.535	7154.715	711.394	-4391.828	7167.343	724.108	-4433.030	7173.802	713.647	-4480.175	7193.012	668.005	-4479.729	7201.656	617.715	-4463.006	7208.439	584.611	-4507.822	7225.234	617.354	-4556.087	7248.016	658.015	-4580.393	7277.935	688.839	-4600.662	7319.202	706.308	-4626.987	7380.113	704.337	-4642.101	7440.171	701.291	-4633.353	7508.118	NA	NA	NA	695.546	-4545.913	7609.431	691.239	-4488.661	7661.202	691.019	-4438.835	7716.908	702.513	-4367.626	7785.332
2076	11.59218	723.490	-4366.519	7133.247	713.642	-4386.642	7146.194	726.337	-4427.893	7152.548	716.938	-4475.134	7171.813	671.289	-4475.286	7180.646	620.945	-4458.318	7185.848	586.490	-4501.092	7203.252	618.634	-4549.558	7226.492	659.924	-4573.314	7255.981	692.211	-4592.798	7296.617	711.042	-4618.516	7357.192	709.573	-4633.861	7417.396	706.789	-4625.266	7485.299	NA	NA	NA	702.381	-4536.161	7584.899	699.899	-4477.157	7634.579	700.953	-4425.798	7688.782	713.637	-4353.363	7755.812
2077	11.59777	725.667	-4361.608	7111.389	715.890	-4381.510	7124.619	728.532	-4422.747	7130.981	720.174	-4470.016	7150.578	674.585	-4470.734	7159.395	624.133	-4453.719	7162.787	588.459	-4494.335	7180.937	619.870	-4542.914	7204.864	661.699	-4566.200	7233.968	695.524	-4584.757	7273.824	715.895	-4610.086	7334.058	714.914	-4625.534	7394.223	712.281	-4611.775	7464.719	NA	NA	NA	709.354	-4526.595	7560.017	708.525	-4465.970	7607.710	710.792	-4412.974	7660.261	724.495	-4339.560	7725.997
2078	11.60335	727.829	-4356.739	7089.110	718.148	-4376.430	7102.643	730.741	-4417.635	7109.149	723.504	-4464.854	7129.125	677.911	-4466.087	7138.096	627.465	-4449.172	7139.483	590.511	-4487.395	7158.261	621.094	-4536.081	7183.155	663.431	-4558.936	7211.794	698.778	-4576.610	7250.833	720.607	-4601.448	7310.659	720.358	-4617.183	7370.714	717.750	-4604.014	7441.247	NA	NA	NA	716.097	-4517.358	7535.090	716.910	-4455.237	7580.457	720.500	-4400.507	7631.244	735.090	-4326.001	7695.821
2079	11.60894	730.039	-4351.888	7066.452	720.394	-4371.378	7080.278	732.965	-4412.555	7087.000	726.804	-4459.700	7107.537	681.204	-4461.374	7116.562	630.790	-4444.652	7115.960	592.652	-4480.452	7135.194	622.309	-4529.103	7161.314	665.104	-4551.608	7189.619	701.965	-4568.518	7227.706	725.405	-4592.711	7287.096	725.746	-4608.381	7347.329	723.318	-4596.263	7417.527	NA	NA	NA	722.928	-4508.517	7509.901	725.225	-4444.793	7553.133	730.061	-4388.333	7601.744	745.414	-4312.801	7665.083
2080	11.61453	733.361	-4347.847	7049.803	723.605	-4365.938	7057.178	735.186	-4407.453	7064.649	730.053	-4454.461	7085.729	684.523	-4456.533	7094.869	632.662	-4444.073	7090.704	594.768	-4474.080	7111.795	623.535	-4521.939	7139.346	666.702	-4544.000	7167.351	705.129	-4560.274	7204.415	730.209	-4584.030	7263.142	731.328	-4599.896	7323.296	728.992	-4588.212	7393.543	NA	NA	NA	729.613	-4499.659	7484.657	733.432	-4434.613	7525.527	739.472	-4376.496	7571.912	755.503	-4299.752	7633.799
2081	11.62011	735.607	-4343.063	7026.485	725.851	-4360.941	7033.876	737.378	-4402.364	7041.986	733.393	-4449.288	7063.623	687.918	-4451.635	7072.984	636.172	-4439.047	7067.082	596.983	-4467.053	7088.149	624.791	-4514.558	7117.192	668.305	-4536.410	7144.942	707.333	-4556.254	7180.416	734.535	-4575.414	7239.150	736.973	-4591.310	7299.055	734.680	-4580.479	7369.125	NA	NA	NA	736.144	-4491.172	7459.268	741.530	-4424.881	7497.744	748.679	-4365.071	7541.727	765.335	-4286.938	7601.800
2082	11.62570	737.856	-4338.315	7002.935	728.126	-4356.044	7010.221	739.640	-4397.278	7019.020	736.661	-4444.021	7041.213	691.300	-4446.701	7050.817	639.727	-4433.976	7043.125	599.234	-4460.097	7064.186	626.002	-4507.019	7094.950	669.939	-4528.542	7122.313	710.123	-4547.855	7156.903	739.345	-4566.718	7214.634	742.633	-4582.771	7274.456	740.507	-4572.838	7344.747	NA	NA	NA	742.572	-4483.060	7433.746	749.559	-4415.497	7469.718	757.712	-4354.042	7511.215	774.917	-4274.399	7569.132
2083	11.63128	740.114	-4333.575	6978.901	730.365	-4351.161	6986.109	742.045	-4392.233	6995.625	739.924	-4438.768	7018.595	694.634	-4441.790	7028.308	643.323	-4428.866	7018.937	602.194	-4452.422	7039.722	627.236	-4499.394	7072.457	671.605	-4520.567	7099.524	712.912	-4539.383	7133.110	744.065	-4557.862	7189.865	748.398	-4574.136	7249.680	746.360	-4565.086	7319.651	NA	NA	NA	748.875	-4474.832	7408.158	757.433	-4406.424	7441.507	766.654	-4343.407	7480.507	784.284	-4262.133	7535.895
2084	11.63687	742.431	-4328.803	6954.675	732.607	-4346.347	6961.625	744.459	-4387.152	6971.864	743.204	-4433.442	6995.646	698.047	-4436.885	7005.624	647.001	-4423.694	6994.741	604.824	-4445.541	7015.103	628.940	-4492.651	7049.026	673.307	-4512.299	7076.651	715.642	-4530.693	7109.124	748.748	-4548.969	7164.774	754.099	-4565.540	7224.490	752.576	-4557.648	7295.060	NA	NA	NA	755.143	-4467.002	7382.379	765.210	-4397.628	7413.217	775.400	-4333.266	7449.484	794.539	-4250.243	7502.610
2085	11.64246	744.810	-4323.991	6930.159	734.913	-4341.552	6936.750	746.976	-4382.141	6947.740	746.492	-4428.187	6972.285	701.452	-4431.985	6982.438	650.713	-4418.468	6970.465	606.796	-4439.423	6990.411	630.311	-4484.853	7025.906	674.920	-4504.107	7053.427	718.239	-4521.843	7085.032	753.342	-4539.932	7139.491	759.937	-4556.961	7198.867	758.511	-4549.748	7269.472	NA	NA	NA	761.127	-4459.231	7356.281	772.832	-4389.267	7384.729	784.031	-4323.543	7418.224	803.229	-4238.640	7468.383
2086	11.64804	747.246	-4319.191	6905.389	737.386	-4336.757	6911.769	749.567	-4377.190	6923.300	749.831	-4422.997	6948.486	704.942	-4427.019	6958.974	654.525	-4413.093	6946.114	609.448	-4432.848	6965.324	631.598	-4477.060	7002.458	676.554	-4495.923	7030.035	720.763	-4512.959	7060.762	757.811	-4530.726	7114.030	765.738	-4548.441	7172.988	764.554	-4542.287	7243.569	NA	NA	NA	767.328	-4451.563	7330.379	780.321	-4381.203	7356.118	792.532	-4314.172	7386.736	810.369	-4227.312	7433.208
2087	11.65363	749.809	-4314.262	6880.403	740.058	-4331.913	6886.542	752.167	-4372.231	6898.576	753.180	-4417.809	6924.219	708.566	-4421.948	6935.136	658.331	-4407.611	6921.679	612.160	-4425.794	6940.238	633.002	-4469.294	6978.688	678.230	-4487.742	7006.227	723.277	-4504.049	7036.080	762.089	-4521.404	7088.278	771.675	-4539.868	7146.700	770.679	-4534.598	7217.567	NA	NA	NA	773.558	-4444.758	7303.942	787.683	-4373.286	7327.389	800.849	-4305.167	7355.104	818.417	-4216.350	7398.021
2088	11.65922	752.452	-4309.336	6855.230	742.826	-4327.021	6861.256	754.921	-4367.267	6873.624	756.551	-4412.641	6899.571	712.205	-4416.826	6911.007	662.198	-4401.958	6897.207	615.042	-4418.875	6914.987	634.409	-4461.694	6954.538	679.898	-4479.510	6982.036	725.666	-4495.089	7011.241	766.119	-4511.834	7062.451	777.387	-4531.143	7120.200	776.814	-4527.208	7191.169	NA	NA	NA	779.503	-4437.469	7277.634	794.917	-4365.633	7298.593	809.073	-4296.515	7323.319	826.258	-4205.825	7362.484
2089	11.66480	755.964	-4303.062	6825.010	745.679	-4321.963	6835.830	757.807	-4362.101	6848.287	760.042	-4407.554	6874.307	715.943	-4411.637	6886.498	666.076	-4396.115	6872.777	617.931	-4411.949	6889.697	635.800	-4454.168	6929.998	682.247	-4471.785	6956.824	728.047	-4486.116	6986.121	769.996	-4502.244	7036.281	782.887	-4522.204	7093.559	783.193	-4519.296	7164.568	NA	NA	NA	790.112	-4424.388	7249.785	802.014	-4358.113	7269.826	817.178	-4288.188	7291.480	834.882	-4195.784	7327.013
