NO_OF_FRAMES	251
NO_OF_CAMERAS	23
NO_OF_MARKERS	5
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-19, 17:34:26	94410.57039366
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	
864	4.82123	-385.486	-4343.974	6187.960	-385.499	-4491.016	6145.187	-283.442	-4474.914	6194.542	-145.299	-4379.531	6247.832	-42.906	-4411.684	6312.310
865	4.82682	-390.519	-4336.910	6162.608	-392.223	-4484.499	6117.531	-291.326	-4472.202	6167.137	-153.604	-4376.186	6220.151	-51.367	-4401.540	6283.992
866	4.83240	-395.753	-4329.650	6137.083	-398.914	-4477.625	6089.654	-299.314	-4469.541	6139.479	-163.181	-4370.362	6191.512	-59.978	-4391.218	6255.595
867	4.83799	-400.982	-4322.313	6111.435	-405.399	-4470.366	6061.875	-307.187	-4466.795	6111.630	-172.832	-4364.819	6162.558	-68.688	-4380.688	6226.675
868	4.84358	-406.371	-4315.057	6085.410	-411.726	-4463.028	6033.723	-315.358	-4463.916	6083.693	-182.518	-4359.145	6133.560	-77.806	-4367.735	6198.084
869	4.84916	-411.629	-4307.778	6059.161	-417.764	-4455.471	6005.513	-323.507	-4460.831	6055.512	-192.236	-4353.871	6104.269	-86.891	-4357.652	6168.208
870	4.85475	-416.944	-4300.575	6032.539	-424.076	-4447.907	5977.362	-331.738	-4458.002	6027.095	-201.962	-4348.289	6074.859	-95.946	-4347.478	6138.204
871	4.86034	-422.389	-4293.691	6007.477	-429.039	-4441.178	5948.611	-339.784	-4454.993	5998.414	-211.627	-4343.114	6045.191	-105.324	-4337.313	6108.060
872	4.86592	-427.483	-4286.349	5980.365	-434.069	-4432.232	5918.985	-348.174	-4451.866	5969.523	-221.373	-4337.702	6015.306	-114.920	-4327.324	6077.512
873	4.87151	-432.232	-4279.632	5952.196	-439.767	-4424.813	5890.859	-356.422	-4448.638	5940.223	-231.147	-4332.691	5985.246	-124.530	-4317.227	6046.857
874	4.87709	-437.797	-4272.463	5923.783	-445.519	-4416.668	5862.895	-364.507	-4445.417	5910.317	-240.855	-4327.675	5954.914	-134.490	-4307.271	6015.880
875	4.88268	-443.591	-4265.123	5895.107	-450.672	-4410.224	5835.981	-372.910	-4442.088	5880.359	-250.727	-4322.522	5924.708	-144.381	-4297.529	5984.414
876	4.88827	-449.487	-4257.675	5866.098	-456.451	-4402.312	5807.343	-381.170	-4438.524	5849.980	-260.489	-4317.643	5894.141	-154.606	-4287.803	5952.615
877	4.89385	-455.312	-4250.408	5836.443	-462.605	-4394.726	5778.920	-389.552	-4434.912	5819.504	-270.404	-4312.750	5863.438	-164.910	-4278.295	5920.257
878	4.89944	-462.654	-4242.165	5808.133	NA	NA	NA	-398.230	-4431.428	5788.879	-280.245	-4307.875	5832.718	-175.172	-4268.984	5887.706
879	4.90503	-468.718	-4234.957	5777.992	NA	NA	NA	-408.052	-4426.676	5755.632	-290.167	-4302.987	5801.740	-185.712	-4259.662	5854.962
880	4.91061	-475.286	-4227.778	5747.413	NA	NA	NA	-416.737	-4422.493	5724.537	-300.036	-4297.956	5770.538	-196.444	-4250.587	5821.946
881	4.91620	-481.849	-4220.855	5716.743	-492.234	-4362.494	5661.459	-425.474	-4418.393	5692.961	-309.931	-4293.441	5738.960	-207.439	-4241.599	5788.718
882	4.92179	-488.902	-4213.861	5685.701	-497.760	-4354.534	5631.363	-434.474	-4414.334	5661.224	-319.732	-4288.634	5707.183	-218.285	-4233.013	5755.077
883	4.92737	-496.499	-4203.451	5655.722	-504.067	-4346.347	5601.845	-443.358	-4410.086	5629.292	-329.627	-4284.079	5675.215	-229.361	-4224.559	5721.252
884	4.93296	-504.023	-4196.393	5624.048	-510.405	-4337.811	5572.361	-452.355	-4405.673	5597.089	-339.508	-4279.316	5643.147	-240.687	-4216.005	5687.133
885	4.93855	-511.855	-4190.231	5591.758	-516.317	-4329.694	5542.688	-461.425	-4401.045	5564.796	-349.383	-4275.028	5610.535	-251.811	-4208.071	5652.566
886	4.94413	-519.742	-4183.768	5559.274	-522.599	-4321.902	5512.931	-470.612	-4396.133	5532.141	-359.179	-4270.637	5577.673	-262.026	-4201.382	5616.100
887	4.94972	-527.798	-4177.589	5526.378	-528.728	-4313.957	5483.168	-479.934	-4391.368	5499.081	-369.052	-4266.239	5544.738	-273.443	-4193.291	5581.259
888	4.95531	-536.206	-4171.738	5493.594	-535.042	-4306.037	5453.455	-489.389	-4386.428	5466.075	-378.842	-4261.523	5511.743	-284.923	-4185.553	5546.132
889	4.96089	-544.892	-4165.235	5460.890	-541.693	-4298.184	5423.780	-496.682	-4384.954	5431.850	-388.702	-4257.015	5478.422	-296.595	-4177.864	5511.071
890	4.96648	-553.798	-4159.328	5428.109	-548.217	-4290.480	5394.116	-506.421	-4379.838	5398.521	-398.389	-4252.756	5444.761	-308.607	-4169.917	5476.061
891	4.97207	-559.994	-4161.097	5390.565	-554.910	-4282.561	5364.104	-516.266	-4374.180	5365.348	-408.178	-4248.352	5410.971	-320.365	-4162.630	5440.671
892	4.97765	-568.876	-4156.366	5357.100	-561.395	-4274.758	5333.647	-526.236	-4368.064	5332.071	-417.788	-4244.166	5376.774	-332.230	-4155.362	5404.925
893	4.98324	-577.889	-4151.888	5323.237	-568.320	-4266.883	5303.402	-536.307	-4361.943	5298.724	-427.563	-4239.758	5342.472	-340.735	-4153.545	5369.665
894	4.98883	-587.065	-4147.372	5289.496	-574.840	-4259.066	5272.699	-546.505	-4355.367	5265.396	-437.410	-4235.409	5307.888	-352.587	-4146.630	5333.722
895	4.99441	-596.553	-4143.256	5255.818	-581.284	-4251.130	5241.851	-556.810	-4348.745	5231.953	-447.050	-4231.102	5272.815	-364.841	-4139.671	5297.949
896	5.00000	-606.117	-4139.047	5222.261	-587.794	-4243.132	5211.045	-569.678	-4337.373	5201.152	-455.985	-4228.595	5237.728	-376.868	-4133.036	5261.962
897	5.00559	-616.038	-4134.536	5188.962	-594.186	-4235.093	5179.966	-579.731	-4331.294	5167.019	-465.946	-4224.121	5202.146	-389.179	-4126.523	5225.948
898	5.01117	-626.196	-4129.975	5155.804	-602.244	-4226.951	5144.902	-589.835	-4325.010	5132.844	-475.754	-4219.847	5166.290	-401.276	-4119.977	5189.696
899	5.01676	-634.415	-4128.246	5124.037	-607.126	-4219.132	5117.412	-600.220	-4318.019	5098.318	-485.567	-4215.436	5130.285	-413.683	-4113.809	5153.574
900	5.02235	-644.320	-4123.918	5090.684	-615.471	-4210.858	5081.782	-609.933	-4313.090	5064.006	-495.608	-4211.130	5094.209	-425.771	-4107.579	5116.926
901	5.02793	-654.380	-4120.019	5057.411	-622.122	-4202.776	5049.588	-620.050	-4305.693	5029.600	-505.685	-4206.973	5057.893	-438.071	-4101.587	5080.363
902	5.03352	-664.110	-4116.162	5023.469	-629.131	-4194.046	5017.876	-630.284	-4298.352	4995.000	-515.617	-4202.625	5021.661	-450.359	-4095.746	5043.477
903	5.03911	-673.978	-4112.601	4989.457	-636.257	-4185.712	4985.728	-640.715	-4290.686	4960.354	-525.935	-4198.417	4985.295	-462.313	-4089.942	5006.293
904	5.04469	-685.320	-4107.688	4957.858	-643.446	-4177.053	4953.614	-651.004	-4283.066	4925.316	-536.128	-4194.100	4948.857	-474.347	-4084.458	4968.864
905	5.05028	-695.728	-4104.173	4923.906	-650.995	-4168.082	4921.510	-661.265	-4274.860	4890.437	-546.089	-4189.838	4911.949	-486.188	-4078.988	4931.176
906	5.05587	-706.044	-4100.051	4889.931	-658.577	-4159.542	4888.947	-671.384	-4266.666	4855.336	-556.579	-4185.539	4875.254	-498.208	-4073.566	4893.630
907	5.06145	-716.652	-4096.313	4856.173	-666.436	-4151.042	4856.531	-681.547	-4258.142	4819.913	-566.844	-4181.286	4838.159	-510.103	-4068.321	4855.862
908	5.06704	-727.579	-4092.200	4822.511	-672.126	-4142.650	4827.812	-691.002	-4253.710	4782.963	-576.734	-4177.045	4800.909	-521.974	-4063.008	4818.091
909	5.07263	-738.321	-4088.123	4789.233	-679.427	-4133.873	4793.981	-700.919	-4245.055	4747.308	-587.176	-4172.717	4763.902	-533.908	-4057.828	4780.234
910	5.07821	-749.186	-4083.906	4755.986	-686.975	-4124.886	4759.733	-711.171	-4236.014	4711.895	-597.571	-4168.447	4726.642	-545.605	-4052.721	4742.033
911	5.08380	-759.745	-4080.360	4722.586	-694.645	-4115.706	4725.476	-721.210	-4226.920	4676.375	-607.565	-4164.111	4689.234	-557.309	-4047.670	4703.889
912	5.08939	-770.256	-4076.568	4689.126	-702.582	-4106.210	4690.817	-730.956	-4217.875	4640.667	-618.057	-4159.760	4651.858	-568.888	-4042.591	4665.765
