NO_OF_FRAMES	219
NO_OF_CAMERAS	23
NO_OF_MARKERS	3
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 12:41:35	9377.67537482
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	
25998	145.23464	396.436	-4694.424	4926.393	421.313	-4892.782	4965.398	202.008	-5027.341	5032.706
25999	145.24022	397.258	-4690.088	4891.486	419.633	-4886.915	4928.237	201.632	-5028.081	4989.339
26000	145.24581	399.132	-4685.437	4855.401	417.770	-4881.476	4890.802	201.615	-5028.592	4945.939
26001	145.25140	400.008	-4681.205	4820.623	415.897	-4876.094	4853.132	201.835	-5029.145	4902.152
26002	145.25698	400.788	-4677.161	4785.729	413.976	-4870.483	4815.554	202.359	-5029.523	4858.605
26003	145.26257	401.724	-4673.008	4750.657	412.058	-4864.855	4777.864	203.055	-5029.945	4814.585
26004	145.26816	402.647	-4668.923	4715.467	410.160	-4859.162	4740.083	204.242	-5030.040	4770.751
26005	145.27374	403.604	-4664.950	4680.362	408.137	-4853.537	4702.107	205.656	-5030.081	4726.833
26006	145.27933	404.416	-4661.035	4645.339	406.143	-4847.901	4664.194	207.331	-5029.925	4682.883
26007	145.28492	405.417	-4657.152	4610.196	403.813	-4842.605	4626.728	209.724	-5029.415	4640.432
26008	145.29050	406.227	-4653.333	4574.804	401.724	-4836.878	4588.611	211.488	-5029.328	4594.583
26009	145.29609	407.081	-4649.575	4539.395	399.563	-4831.170	4550.412	214.299	-5028.486	4552.119
26010	145.30168	407.821	-4645.791	4503.769	397.378	-4825.609	4512.025	217.013	-5027.763	4507.719
26011	145.30726	408.441	-4642.040	4468.028	395.013	-4819.936	4473.599	219.744	-5027.025	4463.526
26012	145.31285	408.977	-4638.337	4432.303	392.776	-4814.108	4435.087	222.192	-5025.972	4419.289
26013	145.31844	409.464	-4634.639	4396.286	390.421	-4808.324	4396.314	225.936	-5025.247	4375.660
26014	145.32402	409.837	-4630.997	4360.151	388.004	-4802.570	4357.473	228.405	-5023.966	4331.389
26015	145.32961	410.100	-4627.354	4324.005	385.529	-4796.818	4318.497	232.009	-5022.371	4287.122
26016	145.33520	410.251	-4623.731	4287.635	383.058	-4791.023	4279.366	235.676	-5020.454	4243.060
26017	145.34078	410.212	-4620.244	4251.082	380.288	-4785.825	4240.498	238.371	-5018.661	4198.909
26018	145.34637	410.014	-4616.818	4214.205	377.662	-4780.009	4201.086	241.976	-5016.603	4155.016
26019	145.35196	409.776	-4613.539	4177.217	375.011	-4774.080	4161.649	245.938	-5013.386	4112.046
26020	145.35754	409.260	-4610.360	4139.979	372.016	-4769.309	4119.307	249.440	-5011.106	4068.002
26021	145.36313	408.484	-4607.118	4102.431	369.216	-4763.461	4079.181	252.193	-5008.395	4024.267
26022	145.36872	407.501	-4604.011	4064.545	366.435	-4757.403	4038.908	256.445	-5005.677	3980.752
26023	145.37430	406.211	-4600.925	4026.695	363.621	-4751.549	3998.508	260.311	-5002.566	3938.129
26024	145.37989	404.930	-4597.924	3988.360	360.795	-4745.444	3957.993	263.388	-4999.935	3894.886
26025	145.38547	403.630	-4594.963	3949.539	357.978	-4739.304	3917.141	266.952	-4996.827	3852.048
26026	145.39106	402.035	-4592.030	3910.853	355.256	-4733.123	3876.214	270.368	-4993.508	3809.356
26027	145.39665	399.944	-4589.109	3871.296	352.461	-4726.986	3835.167	274.550	-4989.800	3767.231
26028	145.40223	398.099	-4586.221	3831.635	349.703	-4720.631	3793.947	278.184	-4986.521	3725.036
26029	145.40782	395.865	-4583.550	3791.370	346.984	-4714.385	3752.370	281.184	-4983.613	3681.674
26030	145.41341	393.914	-4580.684	3751.517	344.287	-4708.122	3711.158	284.324	-4980.568	3639.249
26031	145.41899	391.948	-4579.203	3710.635	341.650	-4701.850	3669.604	288.495	-4977.067	3596.614
