,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,0.5,1.2395413683,0.024606182,-0.9059737144,1.0923796247,0.0077830558,-0.8557459197,1.0218574661,-0.1211105092,-0.8085693005,0.9376257412,0.0480447599,-0.8361997706,0.8560862237,0.105959205,-0.8042155888
32,0.5166666667,1.362010808,0.0241876459,-0.9952402024,1.2089723356,0.0196963674,-0.9421476062,1.1495132024,-0.1293734737,-0.8987411402,1.0601893626,0.0357857941,-0.9255091955,0.9909317916,0.1235949784,-0.902966921
33,0.5333333333,1.4857669802,0.0229575075,-1.0842981343,1.3275266224,0.0320754627,-1.0286568289,1.2788417664,-0.1350030203,-0.9892251765,1.1834246805,0.0229637425,-1.0136393871,1.1299775616,0.1369701228,-1.0009636726
34,0.55,1.6099692573,0.0210035909,-1.1727491743,1.4478556015,0.0446309166,-1.1154098642,1.4087159405,-0.1377824629,-1.0796697437,1.3067722267,0.0098962261,-1.1005142136,1.271729042,0.1455070495,-1.0975744428
35,0.5666666667,1.7338294983,0.0184869649,-1.2602076456,1.5696351491,0.0570716495,-1.2023744394,1.5380343916,-0.1376390591,-1.1696983283,1.4296364729,-0.0031988372,-1.1860916781,1.4146033829,0.1490455286,-1.1923339622
36,0.5833333333,1.856760561,0.0156202241,-1.346379506,1.6925191448,0.0691040535,-1.2894228434,1.6658839893,-0.134649853,-1.258976065,1.5515386617,-0.0161882424,-1.2704034617,1.5571265184,0.1478478597,-1.2849951715
37,0.6,1.9784938371,0.0126375823,-1.4311216682,1.8162421468,0.0804324208,-1.37639853,1.7916679498,-0.1290241194,-1.3472579822,1.6722678773,-0.0289964021,-1.3535829163,1.6981103666,0.1425386191,-1.375526479
38,0.6166666667,2.0991216019,0.0097626889,-1.5144615284,1.9406624961,0.0907636348,-1.4631521115,1.9151575591,-0.1210677464,-1.4344080465,1.7919681413,-0.0415746886,-1.4358668484,1.8367524924,0.1339949115,-1.4640633691
39,0.6333333333,2.2190682794,0.0071758642,-1.5965826565,2.0657503902,0.0998171147,-1.5495498352,2.0364761468,-0.1111390367,-1.5203968749,1.911147839,-0.053870982,-1.5175742899,1.9726582692,0.1232099437,-1.5508459693
40,0.65,2.3390040636,0.0049833055,-1.677782673,2.1915451309,0.1073386953,-1.6354631947,2.1560389505,-0.0996053428,-1.6052816343,2.0306135785,-0.065800966,-1.5990623969,2.105798515,0.1111519214,-1.6361571893
41,0.6666666667,2.4596990902,0.0031945215,-1.7584026627,2.3180903068,0.1131151661,-1.7207444923,2.2744481842,-0.0868073476,-1.689162642,2.1513219555,-0.0772242473,-1.6806585901,2.2363963,0.0986383362,-1.7202544041
42,0.6833333333,2.5818422907,0.0017150938,-1.8387472646,2.4453700311,0.1169862205,-1.8052129193,2.3923553546,-0.0730352741,-1.7721304066,2.2741736222,-0.0879307096,-1.7625948907,2.3647675706,0.0862444327,-1.8033087086
43,0.7,2.7058847773,0.0003602466,-1.9190305248,2.5732810716,0.1188517421,-1.8886815244,2.5103395334,-0.05851901,-1.8542358754,2.3998158825,-0.0976423289,-1.8449822656,2.4911808259,0.0742589469,-1.8853879275
44,0.7166666667,2.8319594251,-0.0011085875,-1.9993648907,2.7016432833,0.1186728225,-1.9710161648,2.6288470326,-0.0434317603,-1.9355009988,2.5285153811,-0.1060316611,-1.9278305912,2.6157845585,0.0626897853,-1.9664954584
45,0.7333333333,2.9598975505,-0.0029292488,-2.079784164,2.8302310579,0.1164660875,-2.0521865042,2.74820251,-0.0279052252,-2.0159593154,2.6601270474,-0.1127524416,-2.0110863327,2.7386160292,0.0513124076,-2.0466402835
46,0.75,3.0893325137,-0.0052788685,-2.1602795278,2.9588240009,0.112293795,-2.1322827339,2.8686692805,-0.0120532591,-2.095703452,2.7941565753,-0.1174748213,-2.0946606465,2.8596851966,0.0397474395,-2.1259027167
47,0.7666666667,3.219836714,-0.0082222747,-2.2408246992,3.0872685599,0.1062532702,-2.2114930684,2.9905109756,0.0040003161,-2.174910761,2.929888416,-0.11991855,-2.1784377124,2.9790971319,0.0275522021,-2.204463667
