,,,Head,,,Quarter,,,Mid,,,Three quarter,,,Vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.35,1.4358951993,-0.0123444756,-1.0538140047,1.3041760583,0.0681400853,-1.0116018286,1.2632849465,-0.0882136383,-1.0264181652,1.1807069938,-0.0428753883,-0.9984117991,1.1886229886,0.1382423583,-0.9785517196
23,0.3666666667,1.5552818704,-0.0148301823,-1.1456137142,1.4293986242,0.072273767,-1.1069892856,1.3786527601,-0.0752170031,-1.1170605722,1.2996522605,-0.0540638183,-1.0907973046,1.3167142839,0.128844291,-1.0672677157
24,0.3833333333,1.6766433321,-0.0168124293,-1.2374718205,1.5576828389,0.074810534,-1.202669954,1.4957878652,-0.0609169216,-1.207475252,1.4220317276,-0.0646855277,-1.1838506608,1.443785723,0.11839626,-1.1564184614
25,0.4,1.7997648502,-0.0183634289,-1.3291408735,1.6882709499,0.0757030792,-1.2981374274,1.6147267663,-0.0456098529,-1.2974501205,1.5477887279,-0.074486626,-1.2773201409,1.5696559275,0.1071502283,-1.2462525363
26,0.4166666667,1.9243390579,-0.0195982705,-1.4203332575,1.8202189288,0.0749330745,-1.3928399407,1.7353645065,-0.0295487359,-1.386686608,1.6766177639,-0.0831401346,-1.3708632778,1.6942301234,0.0951098624,-1.3369318472
27,0.4333333333,2.0500238542,-0.020646881,-1.5107551896,1.9525486365,0.0725076483,-1.4862329286,1.8574982968,-0.0129581669,-1.4748465878,1.8079824337,-0.0902642859,-1.4640829519,1.8174909203,0.0820764901,-1.4285045971
28,0.45,2.1764839117,-0.0216260753,-1.6001317887,2.084370004,0.0684623782,-1.5778240298,1.9808806486,0.0039436214,-1.5616114348,1.941144375,-0.0954586466,-1.5565578119,1.9394924683,0.0677313694,-1.5208856788
29,0.4666666667,2.3034218216,-0.0226163427,-1.6882255571,2.2149844143,0.0628661083,-1.6672238187,2.1052922687,0.0209247127,-1.6467553239,2.0752150795,-0.0983533343,-1.6478698877,2.060369455,0.0517413694,-1.6138558462
30,0.4833333333,2.430619383,-0.023645916,-1.7748572826,2.3439816416,0.0558230594,-1.7542048888,2.2306384683,0.037725715,-1.7302232665,2.2092431804,-0.0986625274,-1.7376321669,2.1803740537,0.033873422,-1.707081241
31,0.5,2.5579754273,-0.0246804458,-1.8599260649,2.4712988278,0.0474715729,-1.83874591,2.3570203734,0.0540496792,-1.8121787504,2.3423215927,-0.0962309219,-1.8255128274,2.2999131585,0.0140997854,-1.8001359777
32,0.5166666667,2.6855101606,-0.0256192769,-1.9434193902,2.5972090339,0.0379812449,-1.9210393727,2.4847163639,0.0695517711,-1.8929882193,2.4736958444,-0.0910612124,-1.9112622388,2.419551813,-0.0073243304,-1.8925215674
33,0.5333333333,2.8133324359,-0.0263039764,-2.0254111429,2.7222480378,0.0275498642,-2.0014637154,2.6140695402,0.0838325289,-1.9731434098,2.6028650194,-0.0833170024,-1.9947486798,2.5399788797,-0.0298268049,-1.9836984522
34,0.55,2.9415849413,-0.0265423942,-2.1060466962,2.8470985285,0.0164004987,-2.0805255414,2.7453335556,0.0964452016,-2.0531471128,2.7296435309,-0.0733038951,-2.0759802807,2.6619277712,-0.0525412162,-2.0731329971
35,0.5666666667,3.070382006,-0.02614464,-2.1855160043,2.9724413229,0.0047781301,-2.1587750676,2.8785306312,0.1069227503,-2.1333930665,2.8541422374,-0.0614332626,-2.1550844406,2.7860369346,-0.0743905956,-2.1603446122
36,0.5833333333,3.1997596032,-0.0249623786,-2.264027884,3.0988058441,-0.0070546589,-2.2367148803,3.0133635486,0.114819593,-2.2140776743,2.9766822508,-0.048172447,-2.2322588957,2.9126840489,-0.0942225955,-2.2449524598
37,0.6,3.3296569058,-0.0229209838,-2.3417995083,3.2264733593,-0.0188226108,-2.3147357296,3.1492173493,0.1197586251,-2.2951798499,3.0977051169,-0.0339891568,-2.3077382762,3.0418776582,-0.1109727312,-2.3267359937
38,0.6166666667,3.4599358361,-0.0200357758,-2.4190587395,3.3554613173,-0.0302431259,-2.393096135,3.2852637085,0.1214758441,-2.3765159326,3.2177240573,-0.0193033737,-2.3817974145,3.1732632766,-0.123822913,-2.4057012168
39,0.6333333333,3.5904414925,-0.016409234,-2.4960531668,3.4855829178,-0.0410324113,-2.4719396216,3.4206455047,0.1198561346,-2.4578417592,3.3373209194,-0.004459614,-2.454782183,3.3062369928,-0.1323189848,-2.4821214861
40,0.65,3.7211020984,-0.0122112439,-2.573067285,3.6165667199,-0.0509124287,-2.5513380316,3.5546885694,0.1149526702,-2.5389619321,3.4571763377,0.0102748487,-2.5271496446,3.4401238605,-0.1364189365,-2.5565340747
41,0.6666666667,3.8520299797,-0.0076464122,-2.6504358338,3.7482051231,-0.0596185359,-2.6313442794,3.6870697058,0.1069841303,-2.6198112024,3.5781012435,0.0246888476,-2.5994922789,3.5743590752,-0.1364624718,-2.6296920737
42,0.6833333333,3.9835525133,-0.0029165709,-2.7285234312,3.8804696463,-0.0669101846,-2.7120275386,3.8178826675,0.0963097241,-2.7004838887,3.7010217592,0.0385944276,-2.6725187533,3.7085967419,-0.1330713633,-2.7024738989
43,0.7,4.1161417242,0.0018080418,-2.8076622907,4.0135420222,-0.0725887133,-2.7934752124,3.9475991001,0.0833872998,-2.7812105948,3.8269009476,0.0517988494,-2.7469880853,3.842712153,-0.1270029137,-2.7757664133
44,0.7166666667,4.2502859869,0.0063996009,-2.8880782007,4.1477678805,-0.0765206891,-2.8757730505,4.0769745047,0.068723486,-2.8623057975,3.956631517,0.0640922766,-2.8236226671,3.9767423223,-0.1189897477,-2.8503577873
45,0.7333333333,4.3863684327,0.0107679765,-2.9698392657,4.2835699499,-0.0786559585,-2.9589791773,4.2069417695,0.0528266754,-2.9441081317,4.0909379104,0.0752471086,-2.9030254674,4.1108287606,-0.1096036275,-2.9268662399
46,0.75,4.5245877085,0.0148481076,-3.0528420897,4.4213454708,-0.0790289637,-3.0430955143,4.3384956687,0.0361711797,-3.0269182714,4.2302980024,0.0850193749,-2.9856114013,4.2451825916,-0.0991712895,-3.0057052465
47,0.7666666667,4.6649264651,0.0185843227,-3.1368337408,4.5613622385,-0.0777420515,-3.1280374366,4.4725608589,0.0191757252,-3.1109339055,4.3748741531,0.0931505668,-3.0715503472,4.3800579191,-0.0877528037,-3.0870732963
48,0.7833333333,4.807154112,0.0219150367,-3.2214541659,4.7036655136,-0.0749385851,-3.2136044334,4.6098445534,0.0021950097,-3.1961830513,4.524433757,0.099375655,-3.1607103366,4.5157041518,-0.0751791959,-3.1709463487
49,0.8,4.9508430101,0.024762724,-3.3062756604,4.8480019282,-0.0707745694,-3.2994539702,4.7506780749,-0.0144799351,-3.2824585605,4.6782523393,0.1034422885,-3.2525964142,4.6522641421,-0.061138292,-3.2570464998
50,0.8166666667,5.0953814407,0.0270346461,-3.3908231511,4.9937626615,-0.0653950664,-3.3850827856,4.8948680212,-0.0306167286,-3.3692676665,4.8350389271,0.105140704,-3.3463092603,4.7896226249,-0.0452924641,-3.3447867059
51,0.8333333333,5.2399862873,0.0286384882,-3.4745795743,5.1399662089,-0.0589201531,-3.4698309356,5.0416238339,-0.0460328592,-3.4558316077,4.9929689808,0.1043379642,-3.4405750827,4.9272865466,-0.027408392,-3.4332416145
52,0.85,5.3837492523,0.0295107749,-3.5570006759,5.2853371161,-0.0514429873,-3.552939895,5.1896499729,-0.0605811635,-3.5411754016,5.1498935152,0.1010069421,-3.5338876728,5.0644200658,-0.0074763575,-3.5212181547
53,0.8666666667,5.5257520487,0.0296433487,-3.6375630582,5.428522784,-0.0430390439,-3.6336834235,5.3374169602,-0.0741275003,-3.6243084537,5.3036978521,0.0952417517,-3.624743753,5.2000836502,0.0142062363,-3.6074514517
54,0.8833333333,5.6652343361,0.0290871592,-3.7158438515,5.5683918941,-0.0337824561,-3.7115335004,5.4835033204,-0.0865222724,-3.7044358476,5.4526823128,0.0872563926,-3.711891227,5.3335806617,0.0370095127,-3.6908596101
55,0.9,5.8017416116,0.0279266564,-3.7916012201,5.7042801209,-0.0237637791,-3.786282098,5.6268590842,-0.0975747537,-3.7811176655,5.5958218064,0.0773683604,-3.7945053343,5.464745688,0.0600136884,-3.7707490425
56,0.9166666667,5.9351815662,0.0262412262,-3.8648161526,5.8360885409,-0.0131041512,-3.8580663334,5.7669131605,-0.1070438449,-3.8543269137,5.7328361678,0.0659703133,-3.8722554683,5.5940722386,0.0821141394,-3.8469094769
57,0.9333333333,6.0657743343,0.0240786651,-3.9356746495,5.9642359494,-0.0019634536,-3.9273040513,5.9035421274,-0.1146530976,-3.9244066564,5.8640940298,0.0534926606,-3.9452742886,5.722662374,0.1021691163,-3.9196026292
